symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,均價,發行股數,次日 參考價,次日 漲停價,次日 跌停價,每股股利,股利年度,殖利率(%),股價淨值比
1101,台泥,17812634.0,10949.0,569391934.0,32.0,32.1,31.9,32.0,,0.0,31.95,489,32.00,373,31.07,,,,,,,,,
1102,亞泥,6342455.0,3261.0,254822929.0,40.25,40.6,40.0,40.0,-,0.05,40.0,524,40.05,29,13.94,,,,,,,,,
1103,嘉泥,238893.0,303.0,4199260.0,17.55,17.7,17.5,17.6,+,0.05,17.6,3,17.70,31,146.67,,,,,,,,,
1104,環泥,2127268.0,1586.0,66190973.0,31.0,31.3,30.85,31.2,+,0.3,31.15,18,31.20,11,9.31,,,,,,,,,
1108,幸福,1221881.0,460.0,19798145.0,16.2,16.3,16.1,16.25,+,0.1,16.2,20,16.25,142,8.83,,,,,,,,,
1109,信大,199246.0,133.0,3561707.0,17.9,17.9,17.85,17.9,,0.0,17.9,1,17.95,7,10.53,,,,,,,,,
1110,東泥,51379.0,68.0,921140.0,17.95,18.0,17.85,17.95,,0.0,17.95,3,18.00,20,38.19,,,,,,,,,
1201,味全,241550.0,398.0,4577058.0,19.0,19.05,18.9,18.95,,0.0,18.9,204,18.95,2,67.68,,,,,,,,,
1203,味王,8347.0,102.0,442472.0,52.9,53.4,52.8,52.9,-,0.3,52.8,6,53.00,1,30.76,,,,,,,,,
1210,大成,2214505.0,1907.0,133515537.0,60.3,60.6,60.0,60.4,+,0.1,60.4,48,60.50,21,13.73,,,,,,,,,
1213,大飲,42104.0,20.0,297041.0,7.0,7.12,7.0,7.06,+,0.05,7.06,4,7.10,5,0.0,,,,,,,,,
1215,卜蜂,395728.0,1163.0,39220391.0,99.0,99.4,98.6,99.3,+,0.2,99.2,1,99.40,33,14.39,,,,,,,,,
1216,統一,4110469.0,2438.0,313176985.0,75.8,76.5,75.6,76.5,+,0.6,76.4,7,76.50,35,22.5,,,,,,,,,
1217,愛之味,859149.0,648.0,10181219.0,11.8,11.9,11.8,11.85,,0.0,11.8,155,11.85,1,35.91,,,,,,,,,
