symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,均價,發行股數,次日 參考價,次日 漲停價,次日 跌停價,每股股利,股利年度,殖利率(%),股價淨值比
1101,台泥,16170103.0,9899.0,518113513.0,32.15,32.25,31.95,32.05,-,0.05,32.05,97,32.10,27,31.12,,,,,,,,,
1102,亞泥,1908988.0,1338.0,76762674.0,40.4,40.4,40.0,40.15,-,0.3,40.15,37,40.20,17,13.99,,,,,,,,,
1103,嘉泥,176019.0,273.0,3128548.0,17.75,17.85,17.75,17.8,+,0.1,17.75,17,17.85,34,148.33,,,,,,,,,
1104,環泥,849958.0,755.0,25307299.0,29.8,29.9,29.7,29.75,+,0.05,29.7,95,29.75,2,8.88,,,,,,,,,
1108,幸福,856004.0,324.0,13507939.0,15.8,15.85,15.7,15.8,+,0.05,15.75,78,15.80,14,8.59,,,,,,,,,
1109,信大,196703.0,137.0,3502979.0,17.85,17.9,17.75,17.8,-,0.05,17.8,14,17.85,49,10.47,,,,,,,,,
1110,東泥,60204.0,59.0,1078756.0,17.9,18.0,17.85,17.85,-,0.05,17.85,2,17.90,1,37.98,,,,,,,,,
1201,味全,1068858.0,675.0,20320436.0,18.95,19.2,18.7,19.05,+,0.15,19.05,7,19.10,48,68.04,,,,,,,,,
1203,味王,39135.0,107.0,2102649.0,54.4,54.5,53.4,54.5,+,0.1,53.6,3,54.20,1,31.69,,,,,,,,,
1210,大成,1263651.0,1035.0,74433818.0,58.6,59.1,58.5,58.9,+,0.5,58.9,6,59.00,235,13.39,,,,,,,,,
1213,大飲,44800.0,16.0,317331.0,7.04,7.14,7.04,7.14,+,0.1,7.07,12,7.13,2,0.0,,,,,,,,,
1215,卜蜂,313298.0,451.0,30525977.0,97.1,97.6,97.1,97.6,+,0.5,97.3,28,97.60,35,14.14,,,,,,,,,
1216,統一,5255634.0,6849.0,398393329.0,75.9,76.1,75.4,75.8,-,0.9,75.8,1769,75.90,39,22.29,,,,,,,,,
1217,愛之味,773354.0,521.0,9137679.0,11.85,11.9,11.75,11.8,-,0.05,11.8,7,11.85,47,35.76,,,,,,,,,
1218,泰山,694222.0,703.0,14605025.0,21.25,21.25,20.95,21.0,-,0.2,20.95,85,21.00,3,1.96,,,,,,,,,
1219,福壽,221708.0,207.0,4193349.0,18.9,19.0,18.9,18.9,,0.0,18.9,11,18.95,33,25.2,,,,,,,,,
1220,台榮,121015.0,157.0,1679611.0,13.9,14.0,13.8,13.85,-,0.05,13.85,12,13.90,1,31.48,,,,,,,,,
1225,福懋油,10539.0,39.0,579071.0,55.2,55.2,54.1,55.0,-,0.6,55.0,2,55.70,2,48.25,,,,,,,,,
1227,佳格,410792.0,404.0,15483849.0,37.65,37.75,37.65,37.65,-,0.05,37.65,29,37.75,8,28.96,,,,,,,,,
1229,聯華,520138.0,1701.0,34009614.0,65.2,65.7,65.2,65.5,,0.0,65.4,5,65.50,36,25.89,,,,,,,,,
1231,聯華食,162449.0,492.0,14089705.0,86.9,87.0,86.5,86.9,,0.0,86.8,12,87.00,28,28.21,,,,,,,,,
1232,大統益,54824.0,148.0,7950612.0,144.5,145.5,144.5,145.5,+,1.0,145.0,4,145.50,23,19.32,,,,,,,,,
1233,天仁,14051.0,15.0,489329.0,34.8,35.0,34.7,34.7,-,0.1,34.7,1,34.80,1,30.17,,,,,,,,,
1234,黑松,162829.0,149.0,6498699.0,39.95,39.95,39.9,39.9,-,0.05,39.85,37,39.95,3,16.62,,,,,,,,,
1235,興泰,30198.0,80.0,2533275.0,83.7,84.5,83.6,83.9,-,0.3,83.9,1,84.00,1,52.11,,,,,,,,,
1236,宏亞,13462.0,38.0,327653.0,24.4,24.4,24.3,24.3,-,0.05,24.25,6,24.35,3,135.0,,,,,,,,,
1240,茂生農經,53441.0,47.0,2673255.0,50.4,50.4,49.75,49.75,,-0.05,49.75,1,49.95,1,17.77,50.02,39370158,49.75,54.70,44.80,2.7,112.0,2.41,1.53
1256,鮮活果汁-KY,30839.0,417.0,7666635.0,250.5,251.0,245.0,250.0,-,5.0,250.0,3,252.00,3,16.96,,,,,,,,,
1259,安心,34780.0,91.0,2609953.0,75.0,75.5,74.5,74.9,,-0.7,74.80,1,75.10,1,14.49,75.04,32389500,74.90,82.30,67.50,1.8,112.0,2.4,1.03
1264,德麥,9279.0,131.0,2782172.0,299.5,300.0,299.5,299.5,,0.0,299.00,1,300.00,4,16.55,299.84,37064367,299.50,329.00,270.00,14.0,112.0,4.01,3.68
1268,漢來美食,281785.0,402.0,42351466.0,150.0,151.5,148.5,150.0,,-4.5,150.00,21,150.50,2,19.71,150.30,42223730,150.00,165.00,135.00,3.0,111.0,2.0,2.94
1301,台塑,3751133.0,3106.0,268426976.0,71.7,71.8,71.3,71.6,-,0.1,71.5,415,71.60,5,159.11,,,,,,,,,
1303,南亞,8031580.0,6712.0,471087827.0,59.0,59.1,58.5,58.5,-,1.2,58.5,2168,58.60,53,84.78,,,,,,,,,
1304,台聚,727919.0,681.0,13196075.0,18.15,18.2,18.1,18.1,-,0.1,18.1,13,18.15,6,29.67,,,,,,,,,
1305,華夏,1095448.0,760.0,22099449.0,20.25,20.35,20.1,20.1,-,0.25,20.1,284,20.20,8,35.89,,,,,,,,,
1307,三芳,633742.0,440.0,17112931.0,26.7,27.25,26.7,26.85,+,0.15,26.85,6,26.90,1,15.7,,,,,,,,,
1308,亞聚,477309.0,593.0,10447880.0,22.0,22.0,21.85,21.85,-,0.2,21.85,72,21.90,3,22.76,,,,,,,,,
1309,台達化,378495.0,371.0,6349681.0,16.75,16.95,16.7,16.7,-,0.1,16.7,64,16.75,11,0.0,,,,,,,,,
1310,台苯,336805.0,520.0,4781938.0,14.2,14.3,14.15,14.15,-,0.1,14.15,81,14.20,3,0.0,,,,,,,,,
1312,國喬,1367101.0,1163.0,19292233.0,14.1,14.2,14.05,14.1,-,0.05,14.1,29,14.15,157,0.0,,,,,,,,,
1313,聯成,787732.0,450.0,11600216.0,14.7,14.85,14.65,14.7,+,0.05,14.7,175,14.75,7,0.0,,,,,,,,,
1314,中石化,8308519.0,3105.0,77902152.0,9.39,9.42,9.36,9.37,-,0.03,9.36,452,9.37,492,0.0,,,,,,,,,
1315,達新,23599.0,30.0,1699891.0,72.3,72.3,71.9,71.9,-,0.1,71.9,4,72.00,10,16.8,,,,,,,,,
1316,上曜,82166081.0,31405.0,1823837221.0,21.8,23.1,21.2,21.3,+,0.3,21.3,509,21.35,29,0.0,,,,,,,,,
1319,東陽,6139415.0,6532.0,621920705.0,100.0,103.5,99.0,100.5,+,1.6,100.5,41,101.00,65,23.16,,,,,,,,,
1321,大洋,84000.0,45.0,3023850.0,35.9,36.1,35.9,36.05,+,0.05,35.95,7,36.10,2,97.43,,,,,,,,,
1323,永裕,90123.0,331.0,2800233.0,31.1,31.1,31.0,31.1,,0.0,31.05,3,31.10,8,33.44,,,,,,,,,
1324,地球,135281.0,126.0,2258710.0,16.7,16.8,16.55,16.6,-,0.1,16.6,8,16.65,2,29.12,,,,,,,,,
1325,恆大,938825.0,746.0,31754435.0,34.35,34.4,33.6,33.7,-,0.6,33.65,20,33.70,2,86.41,,,,,,,,,
