symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,均價,發行股數,次日參考價,次日漲停價,次日跌停價,每股股利,股利年度,殖利率(%),股價淨值比
1101,台泥,12005697,6627,380286027,31.35,31.9,31.35,31.7,+,0.15,31.70,208,31.75,220,30.78,,,,,,,,,
1102,亞泥,2837385,1627,116886356,41.6,41.6,41.1,41.2,-,0.4,41.20,1,41.25,18,13.42,,,,,,,,,
1103,嘉泥,293659,209,5074923,17.2,17.35,17.15,17.3, ,0.0,17.30,22,17.35,33,144.17,,,,,,,,,
1104,環泥,1344078,658,42003036,31.1,31.45,31.05,31.3,+,0.2,31.30,76,31.35,12,10.0,,,,,,,,,
1108,幸福,1021643,429,16337289,16.05,16.05,15.9,15.95, ,0.0,15.90,100,15.95,5,12.27,,,,,,,,,
1109,信大,419100,279,8096793,19.2,19.45,19.2,19.3,+,0.05,19.30,10,19.35,8,9.6,,,,,,,,,
1110,東泥,56576,47,1009530,17.8,17.95,17.7,17.95,+,0.15,17.85,1,17.95,5,69.04,,,,,,,,,
1201,味全,270599,355,5075529,18.75,18.8,18.7,18.7,-,0.1,18.70,156,18.75,2,35.28,,,,,,,,,
1203,味王,39,38,2006,,,,, ,0.0,51.00,1,51.30,1,29.83,,,,,,,,,
1210,大成,765061,801,44171852,57.4,58.0,57.4,57.8,+,0.4,57.80,14,57.90,2,12.02,,,,,,,,,
1213,大飲,14334,11,102953,7.18,7.19,7.18,7.19,-,0.01,7.19,6,7.33,5,0.0,,,,,,,,,
1215,卜蜂,1129541,1512,122450069,105.5,110.0,105.5,109.0,+,3.0,109.00,5,109.50,19,14.16,,,,,,,,,
1216,統一,14944807,4784,1135218145,74.9,76.6,74.9,76.6,+,1.1,76.50,7,76.60,125,23.72,,,,,,,,,
1217,愛之味,599724,871,7116897,11.85,11.9,11.8,11.9,+,0.05,11.85,164,11.90,315,29.02,,,,,,,,,
1218,泰山,645755,762,14210497,22.0,22.15,21.8,22.1,+,0.25,22.05,4,22.10,9,0.0,,,,,,,,,
1219,福壽,496902,346,9286619,18.7,18.75,18.65,18.65,-,0.05,18.65,50,18.70,4,19.84,,,,,,,,,
1220,台榮,1394487,771,21617822,15.3,15.8,15.3,15.45,+,0.25,15.45,9,15.50,13,20.33,,,,,,,,,
1225,福懋油,27098,40,1525755,55.9,56.7,55.9,56.4,+,0.1,56.20,6,56.70,3,35.25,,,,,,,,,
1227,佳格,471105,382,17759988,37.65,37.8,37.6,37.7,-,0.05,37.70,14,37.75,42,29.0,,,,,,,,,
1229,聯華,528175,863,35474767,66.8,67.4,66.8,67.2,+,0.4,67.20,24,67.30,9,25.45,,,,,,,,,
1231,聯華食,165073,289,15788359,94.8,96.0,94.8,96.0,+,1.3,96.00,10,96.10,5,24.43,,,,,,,,,
1232,大統益,63697,132,9244169,145.0,145.5,145.0,145.0, ,0.0,145.00,36,145.50,5,19.26,,,,,,,,,
1233,天仁,19393,42,653170,33.85,33.85,33.5,33.7,-,0.15,33.60,4,33.80,2,31.79,,,,,,,,,
1234,黑松,155286,161,6365192,40.95,41.1,40.9,41.1,+,0.15,41.00,3,41.10,10,17.42,,,,,,,,,
1235,興泰,30462,30,2482908,80.8,82.1,80.8,81.8,+,1.0,81.50,2,82.10,2,31.34,,,,,,,,,
1236,宏亞,45425,61,1063755,23.45,23.55,23.3,23.4,+,0.1,23.35,3,23.45,1,130.0,,,,,,,,,
1240,茂生農經,26990,69,1389535,51.6,51.8,51.2,51.2,,-0.1,51.2,1,51.7,1,18.29,51.48,"39,370,158",51.2,56.3,46.1,2.7,112.0,5.27,1.58
1256,鮮活果汁-KY,16407,516,3794717,230.5,232.5,230.0,231.0,-,1.0,231.00,1,231.50,1,18.61,,,,,,,,,
