symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,均價,發行股數,次日 參考價,次日 漲停價,次日 跌停價,每股股利,股利年度,殖利率(%),股價淨值比
1101,台泥,8900378.0,5373.0,288902201.0,32.6,32.65,32.4,32.4,-,0.15,32.4,312,32.45,61,27.46,,,,,,,,,
1102,亞泥,2362270.0,1834.0,95040839.0,40.3,40.35,40.15,40.2,-,0.2,40.15,235,40.20,12,14.01,,,,,,,,,
1103,嘉泥,271389.0,216.0,4891869.0,18.05,18.1,18.0,18.0,-,0.1,18.0,1,18.05,43,69.23,,,,,,,,,
1104,環泥,667521.0,615.0,19470247.0,29.1,29.25,29.1,29.2,+,0.1,29.2,25,29.25,20,8.72,,,,,,,,,
1108,幸福,621948.0,246.0,9639416.0,15.6,15.6,15.4,15.5,-,0.05,15.5,12,15.55,19,8.42,,,,,,,,,
1109,信大,185348.0,153.0,3279051.0,17.7,17.75,17.65,17.7,,0.0,17.65,155,17.70,4,10.41,,,,,,,,,
1110,東泥,242760.0,97.0,4436955.0,18.3,18.3,18.1,18.1,-,0.3,18.1,12,18.15,2,38.51,,,,,,,,,
1201,味全,502630.0,424.0,9465490.0,18.7,19.0,18.7,18.85,+,0.15,18.8,31,18.85,4,67.32,,,,,,,,,
1203,味王,32088.0,242.0,1747195.0,54.2,54.6,54.2,54.6,+,0.2,54.3,1,54.70,1,31.74,,,,,,,,,
1210,大成,2082320.0,1507.0,122612240.0,58.6,59.3,58.6,58.7,+,0.1,58.7,8,58.80,21,13.34,,,,,,,,,
1213,大飲,103602.0,39.0,729801.0,7.06,7.07,7.02,7.02,-,0.08,7.02,9,7.09,2,0.0,,,,,,,,,
1215,卜蜂,351200.0,584.0,34167967.0,97.4,97.6,97.0,97.0,-,0.6,96.9,4,97.10,1,14.06,,,,,,,,,
1216,統一,4765620.0,3156.0,361647411.0,76.0,76.2,75.6,75.8,-,0.7,75.8,434,75.90,43,22.29,,,,,,,,,
1217,愛之味,1406928.0,680.0,16810687.0,12.05,12.05,11.85,11.9,-,0.15,11.85,206,11.90,16,36.06,,,,,,,,,
1218,泰山,766857.0,699.0,16016726.0,21.05,21.05,20.8,20.8,-,0.25,20.8,76,20.85,7,1.94,,,,,,,,,
1219,福壽,200047.0,232.0,3803325.0,19.0,19.1,18.95,19.0,,0.0,18.95,77,19.00,31,25.33,,,,,,,,,
1220,台榮,105428.0,102.0,1475739.0,14.05,14.05,13.95,14.0,-,0.05,13.95,33,14.00,1,31.82,,,,,,,,,
1225,福懋油,28211.0,43.0,1561849.0,55.4,55.6,55.0,55.4,-,0.2,55.5,1,55.60,1,48.6,,,,,,,,,
1227,佳格,341800.0,452.0,13016786.0,38.25,38.25,38.0,38.0,-,0.25,38.0,125,38.05,7,29.23,,,,,,,,,
1229,聯華,944945.0,1683.0,61725862.0,65.5,66.0,65.0,65.0,-,0.5,64.9,48,65.00,7,25.69,,,,,,,,,
1231,聯華食,113150.0,357.0,9852807.0,87.0,87.2,87.0,87.0,-,0.2,87.0,13,87.10,5,28.25,,,,,,,,,
1232,大統益,18550.0,137.0,2641303.0,142.0,143.0,142.0,142.5,,0.0,142.5,7,143.00,16,18.92,,,,,,,,,
1233,天仁,18177.0,28.0,630380.0,34.95,34.95,34.6,34.7,-,0.25,34.6,5,34.85,2,30.17,,,,,,,,,
1234,黑松,111042.0,139.0,4449761.0,40.1,40.15,40.05,40.05,-,0.05,40.05,13,40.10,19,16.69,,,,,,,,,
1235,興泰,14310.0,35.0,1194845.0,83.4,83.6,83.4,83.6,,0.0,83.5,3,83.60,1,51.93,,,,,,,,,
1236,宏亞,58297.0,89.0,1394211.0,23.75,24.0,23.65,23.85,+,0.3,23.8,1,23.85,1,55.47,,,,,,,,,
1240,茂生農經,18915.0,45.0,940714.0,49.7,49.9,49.6,49.65,,0.0,49.60,1,49.70,2,17.73,49.73,39370158,49.65,54.60,44.70,2.7,112.0,2.42,1.53
1256,鮮活果汁-KY,21809.0,1244.0,5763436.0,266.0,266.0,261.0,261.0,-,6.0,260.0,3,261.00,1,17.71,,,,,,,,,
1259,安心,20083.0,26.0,1523245.0,76.0,76.0,75.6,75.9,,-0.1,75.60,3,75.70,1,13.85,75.85,32389500,75.90,83.40,68.40,1.8,112.0,3.43,1.01
1264,德麥,5689.0,121.0,1706085.0,299.5,299.5,299.0,299.5,,0.0,299.00,2,300.00,3,16.55,299.89,37064367,299.50,329.00,270.00,14.0,112.0,4.01,3.68
1268,漢來美食,150038.0,193.0,22748134.0,152.0,152.5,150.5,152.0,,-0.5,151.50,4,152.00,4,17.12,151.62,42223730,152.00,167.00,137.00,3.0,111.0,1.97,3.11
1301,台塑,6420640.0,6400.0,464127829.0,72.5,72.7,72.0,72.0,-,1.2,72.0,1155,72.10,108,160.0,,,,,,,,,
1303,南亞,9343021.0,7401.0,559763559.0,60.0,60.2,59.7,59.7,-,0.8,59.7,553,59.80,2,86.52,,,,,,,,,
1304,台聚,640712.0,573.0,11911145.0,18.65,18.7,18.55,18.55,-,0.1,18.55,23,18.60,25,30.41,,,,,,,,,
1305,華夏,901314.0,648.0,18555185.0,20.8,20.85,20.5,20.5,-,0.3,20.5,48,20.55,16,36.61,,,,,,,,,
1307,三芳,428738.0,256.0,11388421.0,26.7,26.75,26.35,26.4,-,0.45,26.35,15,26.40,7,15.44,,,,,,,,,
1308,亞聚,500415.0,500.0,11198216.0,22.35,22.45,22.3,22.3,-,0.05,22.3,30,22.35,4,23.23,,,,,,,,,
1309,台達化,502897.0,581.0,8626765.0,17.25,17.35,17.05,17.05,-,0.2,17.05,19,17.10,1,0.0,,,,,,,,,
1310,台苯,617520.0,704.0,8806472.0,14.35,14.35,14.2,14.2,-,0.15,14.2,53,14.25,9,0.0,,,,,,,,,
1312,國喬,1545708.0,1093.0,22100158.0,14.35,14.35,14.25,14.25,-,0.05,14.25,261,14.30,85,0.0,,,,,,,,,
1313,聯成,671268.0,413.0,10129656.0,15.1,15.15,15.0,15.05,-,0.05,15.0,280,15.05,1,0.0,,,,,,,,,
1314,中石化,7430155.0,2562.0,70587509.0,9.52,9.55,9.47,9.5,-,0.01,9.5,78,9.51,67,0.0,,,,,,,,,
1315,達新,12451.0,22.0,894403.0,71.8,71.9,71.8,71.8,-,0.1,71.7,6,71.90,1,16.78,,,,,,,,,
1316,上曜,44600162.0,15747.0,800916972.0,17.35,18.55,17.1,17.85,+,0.55,17.85,91,17.90,67,0.0,,,,,,,,,
1319,東陽,3973855.0,4946.0,373372134.0,95.6,95.8,92.7,93.0,-,2.0,92.9,11,93.00,2,21.43,,,,,,,,,
1321,大洋,192011.0,117.0,6935602.0,36.35,36.6,35.95,36.2,-,0.25,36.05,1,36.20,1,97.84,,,,,,,,,
1323,永裕,55105.0,32.0,1713808.0,31.1,31.15,31.1,31.1,,0.0,31.05,21,31.10,5,22.54,,,,,,,,,
1324,地球,202364.0,192.0,3448215.0,17.15,17.15,16.9,16.9,-,0.2,16.85,4,16.90,4,29.65,,,,,,,,,
1325,恆大,1475870.0,1018.0,50393942.0,34.65,34.65,33.75,34.05,-,0.65,34.05,7,34.10,7,87.31,,,,,,,,,
1326,台化,2333693.0,1858.0,132295386.0,56.8,56.9,56.6,56.6,-,0.2,56.6,8,56.70,44,353.75,,,,,,,,,
1336,台翰,219557.0,215.0,5098934.0,23.5,23.55,22.9,23.1,,-0.3,22.90,20,23.10,3,19.09,23.22,78818419,23.10,25.40,20.80,0.41,112.0,1.77,1.0
1337,再生-KY,917131.0,712.0,7282387.0,8.0,8.14,7.78,7.89,-,0.09,7.88,7,7.89,2,0.0,,,,,,,,,
1338,廣華-KY,83059.0,124.0,3289156.0,39.9,39.9,39.2,39.5,-,0.35,39.5,1,39.55,1,0.0,,,,,,,,,
1339,昭輝,534221.0,555.0,36452282.0,68.6,69.2,67.4,67.9,-,0.6,67.9,3,68.20,3,15.65,,,,,,,,,
1340,勝悅-KY,103818.0,256.0,1159922.0,11.25,11.25,11.1,11.15,-,0.05,11.1,20,11.15,3,0.0,,,,,,,,,
1341,富林-KY,19289.0,37.0,1188327.0,61.9,62.0,61.2,61.4,-,0.4,61.4,1,61.60,1,12.74,,,,,,,,,
1342,八貫,3512581.0,2822.0,431628736.0,120.5,125.0,120.5,123.0,+,9.0,122.5,57,123.00,15,16.25,,,,,,,,,
1402,遠東新,2393848.0,1839.0,75952594.0,31.75,31.85,31.6,31.65,-,0.25,31.65,14,31.70,18,29.58,,,,,,,,,
1409,新纖,1737561.0,847.0,27209892.0,15.75,15.8,15.55,15.55,-,0.2,15.55,22,15.60,35,36.16,,,,,,,,,
1410,南染,214164.0,183.0,7949250.0,37.45,37.45,36.9,36.9,-,0.35,36.85,2,37.15,2,61.5,,,,,,,,,
1413,宏洲,38305.0,46.0,352595.0,9.35,9.35,9.17,9.17,-,0.09,9.16,1,9.23,1,0.0,,,,,,,,,
1414,東和,1247361.0,600.0,25098689.0,20.1,20.5,19.8,20.0,,0.0,19.95,2,20.00,24,285.71,,,,,,,,,
1416,廣豐,619144.0,499.0,7564749.0,12.5,12.5,12.1,12.15,-,0.25,12.1,36,12.15,5,20.59,,,,,,,,,
1417,嘉裕,197782.0,231.0,2377124.0,12.0,12.1,11.95,12.05,+,0.05,12.0,7,12.05,8,37.66,,,,,,,,,
1418,東華,68453.0,75.0,1950291.0,28.55,28.6,28.25,28.6,-,0.05,28.55,2,28.60,1,53.96,,,,,,,,,
1419,新紡,27430.0,48.0,1259209.0,45.95,45.95,45.85,45.9,-,0.15,45.85,3,46.10,1,21.25,,,,,,,,,
1423,利華,76277.0,170.0,2363996.0,31.0,31.1,30.8,31.1,+,0.15,31.1,5,31.15,4,32.74,,,,,,,,,
1432,大魯閣,1015875.0,1136.0,22624525.0,22.55,22.55,22.0,22.45,-,0.1,22.4,12,22.45,7,31.62,,,,,,,,,
