symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,均價,發行股數,次日 參考價,次日 漲停價,次日 跌停價,每股股利,股利年度,殖利率(%),股價淨值比
1101,台泥,10604126.0,7498.0,342286977.0,32.4,32.5,32.05,32.15,-,0.25,32.15,51,32.20,43,27.25,,,,,,,,,
1102,亞泥,1755002.0,1422.0,70484966.0,40.1,40.25,40.1,40.25,+,0.05,40.2,29,40.25,43,14.02,,,,,,,,,
1103,嘉泥,239516.0,255.0,4308384.0,17.95,18.15,17.85,18.1,+,0.1,18.05,14,18.10,7,69.62,,,,,,,,,
1104,環泥,805166.0,687.0,23688300.0,29.25,29.6,29.25,29.4,+,0.2,29.4,30,29.45,50,8.78,,,,,,,,,
1108,幸福,824661.0,258.0,12843240.0,15.55,15.65,15.5,15.6,+,0.1,15.6,18,15.65,24,8.48,,,,,,,,,
1109,信大,214123.0,169.0,3791039.0,17.75,17.75,17.65,17.75,+,0.05,17.7,9,17.75,3,10.44,,,,,,,,,
1110,東泥,293133.0,203.0,5297908.0,18.05,18.15,17.95,18.05,-,0.05,18.05,1,18.10,12,38.4,,,,,,,,,
1201,味全,257669.0,432.0,4841162.0,18.85,18.9,18.7,18.8,-,0.05,18.75,20,18.80,7,67.14,,,,,,,,,
1203,味王,30029.0,116.0,1640291.0,54.7,54.9,54.2,54.9,+,0.3,54.7,4,54.90,1,31.92,,,,,,,,,
1210,大成,1769153.0,1366.0,104515278.0,58.9,59.4,58.9,59.0,+,0.3,59.0,1,59.10,15,13.41,,,,,,,,,
1213,大飲,53403.0,28.0,375505.0,7.02,7.09,7.02,7.05,+,0.03,7.04,7,7.08,1,0.0,,,,,,,,,
1215,卜蜂,228299.0,493.0,22221815.0,97.0,97.5,97.0,97.3,+,0.3,97.3,89,97.40,2,14.1,,,,,,,,,
1216,統一,4820687.0,3283.0,363587485.0,75.3,75.6,75.0,75.5,-,0.3,75.4,129,75.50,8,22.21,,,,,,,,,
1217,愛之味,663474.0,526.0,7889299.0,11.95,11.95,11.85,11.9,,0.0,11.85,121,11.90,248,36.06,,,,,,,,,
1218,泰山,581410.0,612.0,12102917.0,20.7,20.95,20.65,20.8,,0.0,20.8,37,20.85,14,1.94,,,,,,,,,
1219,福壽,199158.0,217.0,3780830.0,18.95,19.05,18.95,18.95,-,0.05,18.95,19,19.00,23,25.27,,,,,,,,,
1220,台榮,51568.0,134.0,720882.0,14.0,14.0,13.95,13.95,-,0.05,13.95,28,14.00,9,31.7,,,,,,,,,
1225,福懋油,33238.0,36.0,1837535.0,54.7,55.7,54.7,55.5,+,0.1,55.3,4,55.50,1,48.68,,,,,,,,,
1227,佳格,614432.0,546.0,23342112.0,37.95,38.1,37.9,38.0,,0.0,37.95,23,38.00,1,29.23,,,,,,,,,
1229,聯華,784281.0,1170.0,50915542.0,64.7,65.1,64.7,64.8,-,0.2,64.8,70,64.90,28,25.61,,,,,,,,,
1231,聯華食,285698.0,520.0,24844599.0,87.0,87.5,86.4,87.2,+,0.2,87.2,4,87.30,8,28.31,,,,,,,,,
1232,大統益,167182.0,395.0,24105897.0,143.0,145.0,143.0,144.5,+,2.0,144.5,11,145.00,24,19.19,,,,,,,,,
1233,天仁,12860.0,37.0,445801.0,34.7,34.75,34.55,34.75,+,0.05,34.6,4,34.90,2,30.22,,,,,,,,,
1234,黑松,219665.0,227.0,8800229.0,40.05,40.2,39.9,39.95,-,0.1,39.95,18,40.05,21,16.65,,,,,,,,,
1235,興泰,22700.0,19.0,1889948.0,83.2,83.7,82.9,83.7,+,0.1,83.7,1,83.90,1,51.99,,,,,,,,,
1236,宏亞,91361.0,109.0,2191446.0,23.95,24.1,23.85,24.05,+,0.2,24.05,1,24.10,4,55.93,,,,,,,,,
1240,茂生農經,29843.0,39.0,1490353.0,50.5,50.5,49.65,49.65,,0.0,49.65,2,49.80,1,17.73,49.94,39370158,49.65,54.60,44.70,2.7,112.0,2.42,1.53
1256,鮮活果汁-KY,11210.0,130.0,2928453.0,261.0,262.0,261.0,261.5,+,0.5,261.5,2,262.00,1,17.74,,,,,,,,,
1259,安心,16600.0,32.0,1258456.0,75.8,75.9,75.6,75.9,,0.0,75.60,1,75.80,1,13.85,75.81,32389500,75.90,83.40,68.40,1.8,112.0,3.43,1.01
