symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,均價,發行股數,次日 參考價,次日 漲停價,次日 跌停價,每股股利,股利年度,殖利率(%),股價淨值比
1101,台泥,18486704.0,15586.0,588821996.0,31.9,32.0,31.8,31.9,-,0.1,31.9,4,31.95,131,27.03,,,,,,,,,
1102,亞泥,2601264.0,1686.0,102593708.0,39.25,39.6,39.25,39.6,+,0.4,39.6,89,39.65,67,13.8,,,,,,,,,
1103,嘉泥,382296.0,350.0,6832264.0,17.9,18.05,17.75,17.85,-,0.1,17.8,55,17.85,54,68.65,,,,,,,,,
1104,環泥,654173.0,527.0,18994945.0,29.0,29.25,29.0,29.0,+,0.1,29.0,29,29.05,5,8.66,,,,,,,,,
1108,幸福,573259.0,286.0,8809955.0,15.4,15.45,15.3,15.3,,0.0,15.3,90,15.35,6,8.32,,,,,,,,,
1109,信大,228260.0,136.0,4037595.0,17.6,17.8,17.55,17.65,+,0.05,17.65,7,17.70,7,10.38,,,,,,,,,
1110,東泥,576608.0,168.0,10545180.0,18.3,18.45,18.0,18.0,-,0.3,18.0,10,18.10,5,38.3,,,,,,,,,
1201,味全,300174.0,386.0,5573677.0,18.6,18.65,18.5,18.65,+,0.05,18.6,8,18.65,7,66.61,,,,,,,,,
1203,味王,33918.0,103.0,1869267.0,54.6,56.5,54.4,54.6,,0.0,54.6,1,55.50,1,31.74,,,,,,,,,
1210,大成,1672081.0,1523.0,95562363.0,57.2,57.6,57.0,57.0,-,0.2,57.0,120,57.10,15,12.95,,,,,,,,,
1213,大飲,46000.0,22.0,324560.0,7.01,7.12,7.0,7.1,-,0.13,7.05,5,7.10,22,0.0,,,,,,,,,
1215,卜蜂,314312.0,573.0,29935163.0,95.2,95.5,95.1,95.1,-,0.6,95.1,22,95.20,4,13.78,,,,,,,,,
1216,統一,5930050.0,4408.0,435015419.0,73.8,73.8,73.1,73.5,,0.0,73.5,1884,73.60,227,21.62,,,,,,,,,
1217,愛之味,1189105.0,563.0,14251930.0,11.95,12.05,11.9,12.0,+,0.1,11.95,72,12.00,34,36.36,,,,,,,,,
1218,泰山,674808.0,558.0,14009582.0,20.55,20.9,20.55,20.85,+,0.3,20.85,8,20.90,11,1.95,,,,,,,,,
1219,福壽,213597.0,213.0,4051600.0,19.0,19.0,18.95,19.0,,0.0,18.95,34,19.00,140,25.33,,,,,,,,,
1220,台榮,268356.0,181.0,3754295.0,13.9,14.1,13.9,14.0,+,0.1,14.0,32,14.05,2,31.82,,,,,,,,,
1225,福懋油,23083.0,29.0,1267333.0,54.8,55.0,54.8,55.0,,0.0,54.8,1,55.00,1,48.25,,,,,,,,,
1227,佳格,836465.0,705.0,31976450.0,38.05,38.35,38.0,38.25,+,0.6,38.25,9,38.30,10,29.42,,,,,,,,,
1229,聯華,1511814.0,1936.0,98992553.0,65.6,66.3,65.0,65.2,-,0.3,65.2,4,65.30,23,25.77,,,,,,,,,
1231,聯華食,146981.0,468.0,12820746.0,87.3,87.6,87.0,87.4,+,0.1,87.4,1,87.60,4,28.38,,,,,,,,,
1232,大統益,55669.0,274.0,7850867.0,141.0,141.5,140.5,141.0,,0.0,141.0,8,141.50,12,20.09,,,,,,,,,
1233,天仁,94115.0,106.0,3317285.0,35.1,35.7,35.05,35.3,+,0.6,35.15,2,35.30,1,30.7,,,,,,,,,
1234,黑松,297189.0,240.0,11803879.0,39.65,39.8,39.65,39.7,-,0.1,39.7,26,39.75,2,16.54,,,,,,,,,
