symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,均價,發行股數,次日 參考價,次日 漲停價,次日 跌停價,每股股利,股利年度,殖利率(%),股價淨值比
1101,台泥,10249931.0,6526.0,318885322.0,31.1,31.25,31.0,31.1,-,0.05,31.1,883,31.15,10,30.19,,,,,,,,,
1102,亞泥,2380454.0,1300.0,98064720.0,41.1,41.3,40.95,41.3,+,0.05,41.2,14,41.30,4,13.45,,,,,,,,,
1103,嘉泥,320407.0,279.0,5488702.0,17.05,17.2,17.05,17.1,,0.0,17.1,40,17.15,3,142.5,,,,,,,,,
1104,環泥,1563239.0,1094.0,49241770.0,31.75,31.75,31.35,31.4,-,0.4,31.4,54,31.50,14,10.03,,,,,,,,,
1108,幸福,1210108.0,348.0,19140253.0,15.75,15.9,15.75,15.8,+,0.05,15.8,6,15.85,78,8.59,,,,,,,,,
1109,信大,722599.0,277.0,13752840.0,18.95,19.2,18.95,19.05,+,0.1,19.05,6,19.10,7,9.48,,,,,,,,,
1110,東泥,62203.0,53.0,1111890.0,17.8,18.0,17.8,17.85,-,0.1,17.8,4,17.85,1,68.65,,,,,,,,,
1201,味全,524955.0,414.0,9886331.0,18.75,18.9,18.75,18.85,+,0.15,18.85,2,18.90,103,35.57,,,,,,,,,
1203,味王,3804.0,107.0,194186.0,51.0,51.2,51.0,51.2,-,0.4,51.2,6,51.30,1,29.77,,,,,,,,,
1210,大成,1268363.0,1203.0,73313191.0,57.8,58.0,57.7,57.7,+,0.1,57.7,22,57.80,9,12.0,,,,,,,,,
1213,大飲,16449.0,15.0,117813.0,7.13,7.27,7.13,7.18,-,0.07,7.18,3,7.25,10,0.0,,,,,,,,,
1215,卜蜂,376572.0,1233.0,39574938.0,104.5,106.0,104.5,105.0,,0.0,105.0,112,105.50,8,13.64,,,,,,,,,
1216,統一,3681281.0,8369.0,277841114.0,75.0,76.0,75.0,75.6,+,0.2,75.5,202,75.60,6,23.41,,,,,,,,,
1217,愛之味,1365708.0,665.0,16142635.0,11.75,11.9,11.75,11.8,+,0.05,11.75,228,11.80,8,28.78,,,,,,,,,
1218,泰山,1034148.0,1025.0,23091809.0,22.45,22.55,22.2,22.25,,0.0,22.25,35,22.30,10,2.08,,,,,,,,,
1219,福壽,945358.0,548.0,17657839.0,18.5,18.85,18.5,18.75,+,0.3,18.7,56,18.75,6,19.95,,,,,,,,,
1220,台榮,559605.0,438.0,8369272.0,14.9,15.0,14.9,14.95,+,0.05,14.9,110,14.95,3,19.67,,,,,,,,,
1225,福懋油,14375.0,24.0,801177.0,55.2,56.0,55.2,55.7,+,0.2,55.6,1,55.80,1,34.81,,,,,,,,,
1227,佳格,341414.0,348.0,12846629.0,37.6,37.7,37.55,37.65,+,0.05,37.65,18,37.70,41,28.96,,,,,,,,,
1229,聯華,3000003.0,2092.0,201656765.0,67.7,68.0,67.1,67.1,-,0.7,67.1,69,67.20,72,25.42,,,,,,,,,
1231,聯華食,181650.0,421.0,17259533.0,94.9,95.4,94.4,95.4,+,0.5,95.3,1,95.40,2,24.27,,,,,,,,,
1232,大統益,79371.0,180.0,11431874.0,144.5,144.5,143.5,144.5,,0.0,144.0,2,144.50,11,19.19,,,,,,,,,
1233,天仁,14491.0,40.0,489733.0,33.7,34.0,33.65,33.9,+,0.2,33.85,1,33.90,1,31.98,,,,,,,,,
1234,黑松,117998.0,160.0,4819816.0,40.95,41.0,40.75,40.85,+,0.05,40.85,7,40.90,10,17.31,,,,,,,,,
1235,興泰,6668.0,13.0,536658.0,80.5,80.7,80.5,80.7,+,0.2,81.0,3,81.80,1,50.12,,,,,,,,,
1236,宏亞,14685.0,41.0,343900.0,23.45,23.45,23.4,23.4,-,0.05,23.4,1,23.45,1,130.0,,,,,,,,,
1240,茂生農經,18273.0,25.0,937356.0,51.5,51.5,51.2,51.2,,-0.1,51.20,1,51.30,4,18.29,51.30,39370158,51.20,56.30,46.10,2.7,112.0,5.27,1.58
1256,鮮活果汁-KY,15211.0,116.0,3528409.0,232.0,233.0,231.0,232.0,-,1.0,231.5,2,234.00,2,18.69,,,,,,,,,
1259,安心,9906.0,223.0,739654.0,75.0,75.0,74.4,74.9,,-0.1,74.50,1,75.00,1,14.49,74.67,32389500,74.90,82.30,67.50,1.8,112.0,2.4,1.03
1264,德麥,13986.0,115.0,4287698.0,307.5,307.5,305.0,306.0,,-0.5,305.50,1,307.50,3,16.91,306.57,37064367,306.00,336.50,275.50,14.0,112.0,4.58,3.76
1268,漢來美食,114523.0,144.0,17586695.0,153.0,155.0,152.5,154.5,,0.0,154.00,3,154.50,2,20.3,153.56,42223730,154.50,169.50,139.50,3.0,111.0,1.94,3.03
1301,台塑,4664584.0,3394.0,315016574.0,66.9,68.0,66.8,67.8,+,0.8,67.8,13,67.90,83,58.96,,,,,,,,,
1303,南亞,3569888.0,2426.0,196536805.0,54.7,55.3,54.6,55.3,+,0.5,55.2,7,55.30,150,69.12,,,,,,,,,
1304,台聚,3197698.0,2254.0,51034110.0,16.15,16.15,15.85,16.05,-,0.15,16.0,27,16.10,26,0.0,,,,,,,,,
1305,華夏,1508257.0,938.0,27336156.0,18.25,18.3,18.05,18.2,-,0.05,18.15,20,18.20,17,30.85,,,,,,,,,
1307,三芳,724928.0,475.0,20402468.0,27.7,28.4,27.7,28.25,+,0.4,28.25,2,28.30,7,14.79,,,,,,,,,
1308,亞聚,711393.0,1098.0,13725428.0,19.2,19.4,19.2,19.35,-,0.15,19.3,42,19.35,52,96.75,,,,,,,,,
1309,台達化,575312.0,636.0,8800938.0,15.3,15.4,15.25,15.4,+,0.15,15.35,38,15.40,42,0.0,,,,,,,,,
