symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,均價,發行股數,次日參考價,次日漲停價,次日跌停價,每股股利,股利年度,殖利率(%),股價淨值比
1101,台泥,10353387,4689,331618885,32.15,32.2,31.9,31.95,-,0.2,31.95,68,32.00,796,31.02,,,,,,,,,
1102,亞泥,2010112,1565,82650925,41.15,41.25,41.05,41.1,-,0.25,41.10,53,41.15,24,13.39,,,,,,,,,
1103,嘉泥,297174,201,5162634,17.35,17.45,17.3,17.35,-,0.15,17.35,12,17.40,8,144.58,,,,,,,,,
1104,環泥,1286542,619,40978154,32.05,32.15,31.8,31.8,-,0.2,31.80,53,31.85,7,10.16,,,,,,,,,
1108,幸福,497301,298,7883146,15.95,15.95,15.8,15.8,-,0.15,15.80,210,15.85,7,12.15,,,,,,,,,
1109,信大,414579,174,8023689,19.4,19.45,19.3,19.4,+,0.1,19.40,2,19.45,69,9.65,,,,,,,,,
1110,東泥,32451,30,581349,18.0,18.0,17.85,17.95, ,0.0,17.90,9,17.95,8,69.04,,,,,,,,,
1201,味全,322505,419,6125209,19.05,19.05,18.9,19.0,-,0.05,18.95,2,19.00,5,35.85,,,,,,,,,
1203,味王,5355,98,269317,50.1,50.6,50.1,50.4, ,0.0,50.10,5,50.50,1,28.0,,,,,,,,,
1210,大成,1394632,1317,80768366,58.1,58.2,57.6,57.8,-,0.4,57.80,74,57.90,3,12.02,,,,,,,,,
1213,大飲,51301,34,375402,7.46,7.46,7.26,7.26,-,0.08,7.26,5,7.30,1,0.0,,,,,,,,,
1215,卜蜂,535669,859,60627287,112.0,114.0,111.5,114.0,+,2.0,113.50,9,114.00,17,14.81,,,,,,,,,
1216,統一,8580659,4554,649517075,76.0,76.4,75.3,75.5,-,1.0,75.50,286,75.60,6,23.37,,,,,,,,,
1217,愛之味,833657,626,9965043,12.0,12.0,11.9,11.95,-,0.05,11.90,162,12.00,231,29.15,,,,,,,,,
1218,泰山,1156858,848,25309328,22.15,22.15,21.75,21.75,-,0.35,21.75,11,21.80,11,0.0,,,,,,,,,
1219,福壽,215479,261,4039723,18.7,18.8,18.7,18.75, ,0.0,18.70,113,18.75,21,19.95,,,,,,,,,
1220,台榮,446365,282,6895916,15.5,15.6,15.3,15.35,+,0.05,15.30,15,15.35,23,20.2,,,,,,,,,
1225,福懋油,2439,8,137004,56.3,56.3,56.2,56.2,-,0.1,56.20,1,56.40,1,35.12,,,,,,,,,
1227,佳格,585312,629,22452387,38.55,38.55,38.25,38.3,-,0.25,38.30,6,38.35,3,28.37,,,,,,,,,
1229,聯華,575362,792,38899764,67.7,67.7,67.5,67.5,-,0.3,67.50,104,67.60,21,25.57,,,,,,,,,
1231,聯華食,292675,2984,28907840,99.0,99.4,98.2,98.4,-,0.4,98.30,1,98.40,1,25.04,,,,,,,,,
1232,大統益,56641,158,8307689,147.0,147.0,146.5,146.5, ,0.0,146.50,2,147.00,28,19.46,,,,,,,,,
1233,天仁,6784,147,231043,34.0,34.25,34.0,34.0,-,0.1,33.90,3,34.00,1,32.08,,,,,,,,,
1234,黑松,195755,180,8131842,41.7,41.7,41.4,41.7,+,0.25,41.70,17,41.75,8,17.67,,,,,,,,,
1235,興泰,1265,13,103472,82.0,82.0,82.0,82.0,+,0.1,81.30,3,81.60,1,31.42,,,,,,,,,
1236,宏亞,16069,50,377727,23.5,23.55,23.5,23.5,+,0.05,23.45,3,23.50,1,130.56,,,,,,,,,
1240,茂生農經,57264,88,3007740,52.7,52.8,52.3,52.5,,0.5,52.5,6,52.6,6,12.74,52.52,"39,370,158",52.5,57.7,47.25,2.7,112.0,5.14,1.53
1256,鮮活果汁-KY,12377,462,3030033,244.0,246.0,244.0,244.0,+,0.5,244.00,2,244.50,1,19.66,,,,,,,,,
1259,安心,6604,39,493712,75.1,75.1,74.5,75.0,,0.5,74.7,1,75.0,2,14.51,74.76,"32,389,500",75.0,82.5,67.5,1.8,112.0,2.4,1.03
