symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,均價,發行股數,次日 參考價,次日 漲停價,次日 跌停價,每股股利,股利年度,殖利率(%),股價淨值比
1101,台泥,17483436.0,11239.0,554623839.0,31.85,31.85,31.6,31.8,-,0.05,31.75,144,31.80,204,30.87,,,,,,,,,
1102,亞泥,2873831.0,1718.0,115904527.0,40.15,40.45,40.15,40.4,,0.0,40.35,10,40.40,50,14.08,,,,,,,,,
1103,嘉泥,194370.0,442.0,3360403.0,17.3,17.4,17.2,17.35,+,0.05,17.3,28,17.35,3,144.58,,,,,,,,,
1104,環泥,2155134.0,1348.0,67869149.0,31.0,31.75,31.0,31.7,+,0.65,31.65,12,31.70,81,9.46,,,,,,,,,
1108,幸福,877457.0,249.0,13868410.0,15.65,15.9,15.65,15.8,+,0.15,15.8,34,15.85,39,8.59,,,,,,,,,
1109,信大,296055.0,231.0,5211462.0,17.6,17.7,17.55,17.55,-,0.05,17.55,101,17.60,3,10.32,,,,,,,,,
1110,東泥,43593.0,41.0,783940.0,18.0,18.1,17.9,17.9,-,0.1,17.9,14,17.95,1,38.09,,,,,,,,,
1201,味全,207925.0,325.0,3927940.0,18.9,19.0,18.8,18.9,,0.0,18.85,19,18.90,6,67.5,,,,,,,,,
1203,味王,24382.0,150.0,1251077.0,51.0,51.5,50.3,51.4,-,0.1,51.3,2,51.40,2,29.88,,,,,,,,,
1210,大成,1599077.0,2615.0,95406745.0,59.4,60.1,59.4,59.6,+,0.2,59.6,11,59.80,13,13.55,,,,,,,,,
1213,大飲,114600.0,31.0,808056.0,7.0,7.1,6.98,7.1,+,0.06,7.0,14,7.11,3,0.0,,,,,,,,,
1215,卜蜂,320328.0,1012.0,31748207.0,98.8,99.5,98.7,99.2,+,0.2,99.2,1,99.30,11,14.38,,,,,,,,,
1216,統一,8602241.0,4989.0,655903671.0,76.5,76.8,75.5,76.6,+,0.9,76.5,1,76.60,60,23.72,,,,,,,,,
1217,愛之味,548677.0,551.0,6437234.0,11.65,11.8,11.65,11.7,,0.0,11.7,124,11.75,5,35.45,,,,,,,,,
1218,泰山,748928.0,612.0,16057846.0,21.25,21.75,21.25,21.3,,0.0,21.3,75,21.35,7,1.99,,,,,,,,,
1219,福壽,321195.0,283.0,5966603.0,18.6,18.65,18.5,18.65,+,0.05,18.6,58,18.65,87,24.87,,,,,,,,,
1220,台榮,169547.0,149.0,2366959.0,13.9,14.1,13.9,13.95,+,0.05,13.9,30,13.95,10,31.7,,,,,,,,,
1225,福懋油,76877.0,73.0,4265731.0,55.0,55.6,55.0,55.6,+,0.6,55.2,2,55.70,3,48.77,,,,,,,,,
1227,佳格,364369.0,412.0,13595583.0,37.25,37.45,37.2,37.45,+,0.2,37.4,3,37.45,7,28.81,,,,,,,,,
1229,聯華,4137799.0,3588.0,284501214.0,67.4,69.7,67.2,68.8,+,3.1,68.7,47,68.80,31,27.19,,,,,,,,,
1231,聯華食,1388430.0,1864.0,128139786.0,93.0,93.5,91.3,92.2,+,4.5,92.1,12,92.30,8,29.94,,,,,,,,,
1232,大統益,62876.0,179.0,9027569.0,143.0,144.5,143.0,143.5,,0.0,143.5,13,144.00,3,19.06,,,,,,,,,
1233,天仁,57830.0,191.0,1961222.0,34.35,34.35,33.0,34.3,-,0.2,34.05,1,34.30,2,29.83,,,,,,,,,
