symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,發行股數,次日漲停價,次日跌停價,每股股利,股利年度,殖利率(%),股價淨值比
2464,盟立,9353248.0,6042.0,397662994.0,42.4,43.45,41.9,42.0,-,0.1,42.00,78,42.05,27,47.19,,,,,,,
2465,麗臺,3411204.0,2723.0,428784929.0,128.0,130.0,121.0,124.5,-,4.5,124.50,3,125.00,6,0.0,,,,,,,
2466,冠西電,49207.0,50.0,1805178.0,37.2,37.2,36.2,37.2,-,0.3,36.55,1,37.30,1,206.67,,,,,,,
2467,志聖,6327701.0,5580.0,817397875.0,131.5,136.0,123.5,123.5,-,4.5,123.00,127,123.50,2,37.88,,,,,,,
2468,華經,298552.0,182.0,8391633.0,28.15,28.3,27.95,28.05,-,0.2,28.05,1,28.10,2,25.04,,,,,,,
2471,資通,1266932.0,1487.0,77398090.0,61.6,61.7,60.6,60.8,-,0.6,60.70,25,60.80,1,16.61,,,,,,,
2472,立隆電,2600010.0,1837.0,189232946.0,72.5,73.2,72.2,72.7,+,1.0,72.60,12,72.70,47,12.98,,,,,,,
2474,可成,4732573.0,3677.0,1031745064.0,218.0,221.5,216.0,216.5,+,1.5,216.50,45,217.00,8,16.1,,,,,,,
2476,鉅祥,3581245.0,2536.0,273769277.0,74.9,77.4,74.4,76.0,+,0.9,76.00,39,76.20,5,21.47,,,,,,,
2477,美隆電,49467.0,52.0,986656.0,19.95,20.0,19.9,19.95,+,0.05,19.95,3,20.00,49,0.0,,,,,,,
2478,大毅,105622.0,434.0,4835503.0,45.9,46.0,45.7,45.7,-,0.15,45.70,2,45.75,5,17.85,,,,,,,
2480,敦陽科,253238.0,375.0,32925849.0,129.5,132.0,129.0,129.5,,0.0,129.50,3,130.00,37,17.6,,,,,,,
2481,強茂,2252876.0,1828.0,128294241.0,56.5,57.5,56.3,57.1,+,0.6,57.10,13,57.20,1,26.56,,,,,,,
2482,連宇,2405460.0,2283.0,87613840.0,35.65,37.1,35.45,36.85,+,1.6,36.85,7,36.90,24,15.35,,,,,,,
2483,百容,144644.0,86.0,3308575.0,22.9,22.95,22.8,22.85,-,0.05,22.80,17,22.90,3,71.41,,,,,,,
2484,希華,973619.0,688.0,34425674.0,35.05,35.6,35.05,35.1,-,0.4,35.10,28,35.15,13,21.4,,,,,,,
2485,兆赫,1639630.0,876.0,34997872.0,21.5,21.7,21.2,21.2,-,0.3,21.20,5,21.30,13,0.0,,,,,,,
2486,一詮,26276014.0,15008.0,1444007883.0,55.2,56.0,53.5,55.6,+,0.9,55.50,9,55.60,589,61.1,,,,,,,
2488,漢平,746411.0,828.0,34005358.0,45.9,45.9,45.25,45.35,-,0.4,45.30,14,45.35,2,10.33,,,,,,,
2489,瑞軒,4465735.0,2518.0,60676328.0,13.75,13.75,13.45,13.5,-,0.25,13.50,10,13.55,28,22.5,,,,,,,
2491,吉祥全,93946.0,84.0,1420745.0,15.0,15.35,14.9,15.0,-,0.05,15.00,3,15.05,2,33.33,,,,,,,
2492,華新科,3899843.0,3233.0,423605578.0,109.0,111.0,107.0,107.0,-,1.0,107.00,5,107.50,65,26.16,,,,,,,
2493,揚博,475066.0,734.0,42980058.0,91.7,91.7,90.0,90.0,-,1.7,90.00,26,90.30,5,14.93,,,,,,,
2495,普安,1157066.0,688.0,25844643.0,22.05,22.6,21.95,22.3,+,0.25,22.30,22,22.35,7,25.34,,,,,,,
2496,卓越,253568.0,459.0,18502277.0,74.5,74.5,71.7,72.9,-,1.7,72.70,1,73.00,4,13.3,,,,,,,
2497,怡利電,290675.0,264.0,15997312.0,54.6,55.5,54.6,54.8,+,0.2,54.70,104,54.90,4,28.99,,,,,,,
2498,宏達電,4701456.0,3316.0,216280748.0,45.7,46.3,45.5,46.0,+,0.35,45.95,62,46.00,16,0.0,,,,,,,
2501,國建,3935664.0,1500.0,80918295.0,20.75,20.75,20.35,20.6,-,0.15,20.55,16,20.60,1,11.02,,,,,,,
