symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,均價,發行股數,次日 參考價,次日 漲停價,次日 跌停價,每股股利,股利年度,殖利率(%),股價淨值比
1101,台泥,16356266.0,8880.0,521281142.0,31.9,32.05,31.75,31.8,-,0.2,31.80,1235.0,31.85,31.0,30.87,,,,,,,,,
1102,亞泥,5932301.0,3497.0,253880810.0,42.4,43.0,42.3,42.75,+,0.25,42.70,54.0,42.75,4.0,13.93,,,,,,,,,
1103,嘉泥,459094.0,365.0,8228755.0,17.85,17.95,17.85,17.9,+,0.05,17.85,50.0,17.95,106.0,149.17,,,,,,,,,
1104,環泥,2094553.0,1303.0,70818417.0,34.0,34.15,33.65,33.65,-,0.2,33.65,27.0,33.70,26.0,10.75,,,,,,,,,
1108,幸福,1003674.0,512.0,16888050.0,17.0,17.0,16.75,16.8,-,0.1,16.80,28.0,16.85,80.0,12.92,,,,,,,,,
1109,信大,483941.0,276.0,9384321.0,19.4,19.45,19.3,19.35,-,0.05,19.35,4.0,19.40,7.0,9.63,,,,,,,,,
1110,東泥,469650.0,275.0,9498294.0,20.2,20.45,20.0,20.2,+,0.3,20.15,2.0,20.20,9.0,77.69,,,,,,,,,
1201,味全,357634.0,494.0,6685593.0,18.65,18.75,18.65,18.65,-,0.1,18.65,49.0,18.70,3.0,35.19,,,,,,,,,
1203,味王,17577.0,198.0,854568.0,48.55,49.3,48.55,48.6,+,0.05,48.60,3.0,48.70,1.0,27.0,,,,,,,,,
1210,大成,1485240.0,2653.0,84591140.0,57.0,57.2,56.6,57.0,-,0.4,57.00,69.0,57.10,13.0,11.85,,,,,,,,,
1213,大飲,5000.0,4.0,35630.0,7.18,7.18,7.03,7.16,+,0.03,7.03,14.0,7.16,1.0,0.0,,,,,,,,,
1215,卜蜂,311305.0,672.0,32550811.0,104.0,105.5,104.0,104.5,+,0.5,104.50,16.0,105.00,13.0,13.57,,,,,,,,,
1216,統一,6162220.0,2913.0,471362584.0,75.8,77.2,75.7,76.5,+,0.4,76.50,170.0,76.60,46.0,23.68,,,,,,,,,
1217,愛之味,550382.0,258.0,6522472.0,11.8,11.9,11.8,11.85,,0.0,11.80,317.0,11.85,13.0,28.9,,,,,,,,,
1218,泰山,626880.0,467.0,13396939.0,21.45,21.5,21.2,21.4,-,0.05,21.35,5.0,21.40,3.0,0.0,,,,,,,,,
1219,福壽,152377.0,136.0,2878531.0,18.8,18.95,18.8,18.95,+,0.05,18.90,5.0,18.95,59.0,20.16,,,,,,,,,
1220,台榮,280992.0,287.0,4325315.0,15.45,15.5,15.3,15.45,,0.0,15.40,29.0,15.45,3.0,20.33,,,,,,,,,
