symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,均價,發行股數,次日 參考價,次日 漲停價,次日 跌停價,每股股利,股利年度,殖利率(%),股價淨值比
1101,台泥,11197573.0,6252.0,359162999.0,32.1,32.25,32.0,32.0,-,0.05,32.0,2762,32.05,9,31.07,,,,,,,,,
1102,亞泥,3304071.0,1883.0,132561648.0,40.0,40.25,40.0,40.05,,0.0,40.05,82,40.10,27,13.95,,,,,,,,,
1103,嘉泥,462107.0,429.0,8127942.0,17.65,17.65,17.55,17.55,-,0.15,17.55,109,17.60,7,146.25,,,,,,,,,
1104,環泥,1990991.0,1252.0,61491758.0,30.8,31.1,30.65,30.9,+,0.25,30.85,37,30.90,3,9.22,,,,,,,,,
1108,幸福,1540018.0,557.0,24664118.0,15.9,16.2,15.8,16.15,+,0.3,16.1,5,16.15,121,8.78,,,,,,,,,
1109,信大,811382.0,548.0,14478167.0,17.75,17.95,17.75,17.9,+,0.15,17.9,52,17.95,31,10.53,,,,,,,,,
1110,東泥,110148.0,91.0,1972505.0,17.9,18.0,17.8,17.95,-,0.05,17.9,1,18.00,14,38.19,,,,,,,,,
1201,味全,299899.0,485.0,5703611.0,19.1,19.15,18.95,18.95,-,0.15,18.95,63,19.00,5,67.68,,,,,,,,,
1203,味王,17027.0,161.0,907123.0,53.5,53.5,53.2,53.2,-,0.6,53.0,7,53.20,1,30.93,,,,,,,,,
1210,大成,5069706.0,3435.0,303832407.0,58.8,60.5,58.8,60.3,+,1.6,60.2,72,60.30,105,13.7,,,,,,,,,
1213,大飲,64192.0,19.0,452194.0,7.11,7.11,7.01,7.01,-,0.1,7.08,5,7.13,1,0.0,,,,,,,,,
1215,卜蜂,966482.0,1136.0,95263994.0,97.3,99.5,97.2,99.1,+,1.8,99.0,11,99.10,7,14.36,,,,,,,,,
1216,統一,4109517.0,3815.0,311846658.0,75.9,76.2,75.6,75.9,-,0.3,75.9,78,76.00,46,22.32,,,,,,,,,
1217,愛之味,665721.0,536.0,7867641.0,11.85,11.85,11.75,11.85,+,0.1,11.8,53,11.85,31,35.91,,,,,,,,,
1218,泰山,820900.0,761.0,17456632.0,21.5,21.5,21.15,21.15,-,0.25,21.15,38,21.20,9,1.97,,,,,,,,,
1219,福壽,353487.0,248.0,6673147.0,18.85,18.95,18.8,18.85,,0.0,18.85,14,18.90,50,25.13,,,,,,,,,
1220,台榮,123166.0,122.0,1712038.0,13.9,13.95,13.85,13.9,+,0.05,13.9,13,13.95,21,31.59,,,,,,,,,
1225,福懋油,12520.0,29.0,686858.0,54.7,55.2,54.7,54.9,,0.0,54.7,4,55.30,3,48.16,,,,,,,,,
1227,佳格,525092.0,548.0,19760779.0,37.6,37.75,37.55,37.55,-,0.05,37.55,131,37.60,1,28.88,,,,,,,,,
1229,聯華,2627036.0,2618.0,177325355.0,66.7,68.4,66.7,67.4,+,1.4,67.4,11,67.50,87,26.64,,,,,,,,,
1231,聯華食,168442.0,291.0,14680793.0,86.7,87.6,86.7,87.3,+,0.4,87.3,3,87.40,1,28.34,,,,,,,,,
1232,大統益,58425.0,191.0,8446825.0,144.5,145.0,144.0,144.0,-,0.5,144.0,28,144.50,2,19.12,,,,,,,,,
1233,天仁,10181.0,23.0,354115.0,34.9,34.9,34.7,34.75,-,0.2,34.7,6,34.75,1,30.22,,,,,,,,,
1234,黑松,126251.0,155.0,5073829.0,40.0,40.3,40.0,40.15,,0.0,40.15,4,40.20,6,16.73,,,,,,,,,
1235,興泰,34551.0,42.0,2888274.0,84.0,84.0,83.1,84.0,,0.0,84.0,1,84.10,1,52.17,,,,,,,,,
1236,宏亞,14617.0,61.0,353432.0,24.2,24.2,24.15,24.15,-,0.1,24.15,2,24.20,1,134.17,,,,,,,,,
1240,茂生農經,46117.0,39.0,2301708.0,49.85,50.0,49.8,49.8,,-0.05,49.80,1,49.85,1,17.79,49.91,39370158,49.80,54.70,44.85,2.7,112.0,2.41,1.54
1256,鮮活果汁-KY,17332.0,175.0,4315730.0,251.0,251.0,248.0,251.0,,0.0,249.5,1,251.00,3,17.03,,,,,,,,,
1259,安心,17104.0,80.0,1284383.0,75.7,75.7,74.9,74.9,,-1.1,75.00,1,75.10,13,14.49,75.09,32389500,74.90,82.30,67.50,1.8,112.0,2.4,1.03
1264,德麥,20113.0,204.0,6094715.0,303.0,303.0,302.0,303.0,,1.0,302.50,1,303.00,1,16.74,303.02,37064367,303.00,333.00,273.00,14.0,112.0,3.96,3.72
