symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,均價,發行股數,次日參考價,次日漲停價,次日跌停價,每股股利,股利年度,殖利率(%),股價淨值比
1101,台泥,12424889,4760,399420695,32.25,32.25,32.05,32.15, ,0.0,32.15,404,32.20,481,31.21,,,,,,,,,
1102,亞泥,2179558,1676,90124802,41.3,41.5,41.2,41.35,+,0.05,41.30,50,41.35,13,13.47,,,,,,,,,
1103,嘉泥,185305,212,3229106,17.4,17.5,17.35,17.5,+,0.1,17.45,10,17.50,115,145.83,,,,,,,,,
1104,環泥,945971,720,30240494,31.65,32.1,31.65,32.0,+,0.4,31.95,89,32.00,99,10.22,,,,,,,,,
1108,幸福,505990,215,8037697,15.85,15.95,15.8,15.95,+,0.15,15.90,26,15.95,98,12.27,,,,,,,,,
1109,信大,628187,230,12137166,19.25,19.4,19.25,19.3,+,0.1,19.30,7,19.35,13,9.6,,,,,,,,,
1110,東泥,106260,52,1898078,17.75,17.95,17.75,17.95,+,0.1,17.80,14,17.95,12,69.04,,,,,,,,,
1201,味全,562388,418,10671054,18.95,19.05,18.9,19.05,+,0.15,18.95,33,19.05,27,35.94,,,,,,,,,
1203,味王,1807,152,91111,50.4,50.4,50.4,50.4,-,0.3,50.40,9,50.50,1,28.0,,,,,,,,,
1210,大成,1125963,1332,65465289,57.8,58.4,57.8,58.2,+,0.5,58.10,78,58.30,68,12.1,,,,,,,,,
1213,大飲,47360,21,346753,7.28,7.38,7.26,7.34,+,0.06,7.34,1,7.42,1,0.0,,,,,,,,,
1215,卜蜂,543013,2570,60914923,111.5,113.0,111.0,112.0, ,0.0,111.50,30,112.00,7,14.55,,,,,,,,,
1216,統一,5722491,3939,439053291,77.1,77.2,76.4,76.5,-,1.0,76.50,83,76.60,13,23.68,,,,,,,,,
1217,愛之味,1806418,911,21686179,12.0,12.1,11.9,12.0,+,0.1,11.95,65,12.00,5,29.27,,,,,,,,,
1218,泰山,732856,512,16198523,22.1,22.2,22.0,22.1, ,0.0,22.10,3,22.15,6,0.0,,,,,,,,,
1219,福壽,213778,509,4007623,18.7,18.8,18.7,18.75,+,0.05,18.75,3,18.80,73,19.95,,,,,,,,,
1220,台榮,424568,233,6512140,15.45,15.45,15.2,15.3,+,0.05,15.25,22,15.30,15,20.13,,,,,,,,,
1225,福懋油,6479,17,365401,56.5,56.5,56.3,56.3,-,0.2,56.30,1,56.40,1,35.19,,,,,,,,,
1227,佳格,713700,614,27420809,38.2,38.55,38.2,38.55,+,0.4,38.50,34,38.55,22,28.56,,,,,,,,,
1229,聯華,477081,762,32386886,67.7,68.1,67.7,67.8,-,0.1,67.80,5,67.90,7,25.68,,,,,,,,,
1231,聯華食,368196,659,36189227,96.8,99.0,96.5,98.8,+,2.0,98.70,34,98.80,9,25.14,,,,,,,,,
1232,大統益,61108,212,8991749,147.0,147.5,146.5,146.5,-,0.5,146.50,4,147.00,1,19.46,,,,,,,,,
1233,天仁,24469,83,825214,33.85,34.1,33.6,34.1,+,0.25,34.10,2,34.20,1,32.17,,,,,,,,,
1234,黑松,116089,147,4810605,41.55,41.6,41.25,41.45,+,0.25,41.45,1,41.50,5,17.56,,,,,,,,,
1235,興泰,15020,11,1226824,81.7,81.9,81.3,81.9,+,0.4,81.50,5,82.20,1,31.38,,,,,,,,,
1236,宏亞,14886,43,349571,23.45,23.5,23.45,23.45,-,0.05,23.45,6,23.55,1,130.28,,,,,,,,,
1240,茂生農經,56104,91,2898290,51.2,52.1,51.2,52.0,,0.8,51.9,3,52.0,1,12.62,51.66,"39,370,158",52.0,57.2,46.8,2.7,112.0,5.19,1.51
1256,鮮活果汁-KY,25933,213,6265163,239.0,245.0,239.0,243.5,+,7.5,243.50,1,245.00,1,19.62,,,,,,,,,
1259,安心,10391,154,778639,75.2,75.2,74.5,74.5,,-0.4,74.7,1,75.1,1,14.41,74.93,"32,389,500",74.5,81.9,67.1,1.8,112.0,2.42,1.02
1264,德麥,6871,153,2095593,305.0,305.0,304.0,304.0,,-1.0,304.0,1,304.5,1,16.67,304.99,"37,064,367",304.0,334.0,274.0,14.0,112.0,4.61,3.57
1268,漢來美食,144312,211,22399122,155.0,156.5,154.0,156.0,,2.0,155.5,2,156.0,3,20.5,155.21,"42,223,730",156.0,171.5,140.5,3.0,111.0,1.92,3.06
1301,台塑,13211788,8936,933932524,69.4,71.3,69.4,70.9,+,2.0,70.80,264,70.90,16,61.65,,,,,,,,,
1303,南亞,10236571,6524,586983797,56.5,57.7,56.3,57.5,+,1.5,57.40,17,57.50,78,71.88,,,,,,,,,
1304,台聚,1864504,1119,30363512,16.05,16.4,16.05,16.3,+,0.25,16.25,90,16.30,18,0.0,,,,,,,,,
1305,華夏,2223383,1293,41372155,18.25,18.8,18.25,18.75,+,0.55,18.75,24,18.80,35,31.78,,,,,,,,,
1307,三芳,694123,616,20536328,29.8,29.85,29.4,29.45, ,0.0,29.40,44,29.45,2,15.42,,,,,,,,,
1308,亞聚,971866,846,18907029,19.2,19.6,19.2,19.55,+,0.35,19.55,2,19.60,29,97.75,,,,,,,,,
1309,台達化,504646,418,7935332,15.5,15.8,15.5,15.8,+,0.3,15.75,23,15.80,50,0.0,,,,,,,,,
1310,台苯,430213,409,5768183,13.35,13.5,13.25,13.45,+,0.1,13.40,36,13.45,23,0.0,,,,,,,,,
1312,國喬,1923722,1229,25969499,13.3,13.55,13.3,13.55,+,0.25,13.50,84,13.55,150,0.0,,,,,,,,,
1313,聯成,1150840,476,15368394,13.25,13.45,13.25,13.4,+,0.15,13.40,8,13.45,53,0.0,,,,,,,,,
1314,中石化,8199533,2198,77578877,9.41,9.5,9.4,9.48,+,0.09,9.47,258,9.48,36,0.0,,,,,,,,,
1315,達新,53098,59,3865757,72.5,73.1,72.5,72.9,+,0.4,72.80,1,73.00,1,19.92,,,,,,,,,
1316,上曜,14492620,5785,287170395,19.3,20.15,19.3,19.95,+,0.75,19.90,112,19.95,33,0.0,,,,,,,,,
1319,東陽,7829116,6602,966261424,122.5,126.0,120.0,123.0,-,2.0,123.00,71,123.50,73,24.12,,,,,,,,,
1321,大洋,71000,48,2462000,34.65,34.7,34.6,34.65,-,0.05,34.65,6,34.70,8,39.38,,,,,,,,,
1323,永裕,6469,48,200231,30.95,31.0,30.95,31.0,+,0.05,30.95,1,31.00,3,33.33,,,,,,,,,
1324,地球,279155,334,4066716,14.5,14.7,14.35,14.55, ,0.0,14.55,3,14.60,2,27.45,,,,,,,,,
1325,恆大,463390,414,13725832,29.3,29.8,29.3,29.75,+,0.45,29.70,1,29.75,9,141.67,,,,,,,,,
1326,台化,5360441,3819,300371432,55.2,56.4,55.2,56.1,+,0.9,56.10,81,56.20,28,38.42,,,,,,,,,
1336,台翰,94273,75,1917009,20.5,20.55,20.2,20.2,,-0.3,20.2,1,20.3,1,14.53,20.33,"78,818,419",20.2,22.2,18.2,0.41,112.0,2.03,0.9
1337,再生-KY,204077,234,1459851,7.15,7.2,7.13,7.15,+,0.01,7.15,4,7.17,1,0.0,,,,,,,,,
1338,廣華-KY,37503,123,1334923,35.5,35.75,35.5,35.7,+,0.1,35.65,2,35.70,4,0.0,,,,,,,,,
1339,昭輝,321914,308,22407746,68.0,70.8,67.7,69.8,+,1.7,69.60,4,69.80,2,11.87,,,,,,,,,
1340,勝悅-KY,239032,791,2386576,9.96,10.1,9.89,9.99,+,0.03,9.99,9,10.00,2,0.0,,,,,,,,,
1341,富林-KY,110028,158,7017827,64.0,64.2,63.5,63.7,-,0.3,63.60,6,63.70,1,14.31,,,,,,,,,
1342,八貫,862443,821,120395162,139.0,141.0,137.5,140.0,+,2.5,139.50,1,140.00,6,18.84,,,,,,,,,
1402,遠東新,2055115,1324,68310192,33.25,33.35,33.1,33.25, ,0.0,33.20,64,33.25,124,21.59,,,,,,,,,
1409,新纖,1328357,695,20953758,15.65,15.85,15.65,15.8,+,0.2,15.75,159,15.80,21,33.62,,,,,,,,,
1410,南染,80521,88,2877289,35.6,36.1,35.6,35.6, ,0.0,35.60,5,35.65,3,148.33,,,,,,,,,
1413,宏洲,67925,24,611512,9.0,9.03,9.0,9.03,+,0.03,9.03,8,9.04,1,0.0,,,,,,,,,
1414,東和,372572,324,7204157,19.5,19.55,19.25,19.55,+,0.1,19.50,5,19.55,7,130.33,,,,,,,,,
1416,廣豐,690737,553,8356137,12.1,12.15,12.05,12.15,+,0.1,12.10,10,12.15,5,23.82,,,,,,,,,
1417,嘉裕,269187,312,3072055,11.35,11.5,11.35,11.45,+,0.1,11.40,7,11.45,17,0.0,,,,,,,,,
1418,東華,101490,156,3391135,33.55,33.65,33.1,33.5,-,0.15,33.40,1,33.50,6,45.27,,,,,,,,,
1419,新紡,67641,57,3098667,45.65,46.05,45.65,46.05,+,0.45,45.85,2,46.10,2,21.22,,,,,,,,,
1423,利華,58159,142,1805891,31.05,31.1,31.0,31.0, ,0.0,31.00,22,31.05,8,43.66,,,,,,,,,
1432,大魯閣,590263,830,10957218,18.9,18.9,18.4,18.5,-,0.35,18.50,20,18.55,10,27.61,,,,,,,,,
1434,福懋,1130650,751,25424030,22.25,22.55,22.25,22.5,+,0.3,22.50,152,22.55,40,86.54,,,,,,,,,
1435,中福,2256,253,111596,49.0,49.5,49.0,49.5,-,1.0,48.50,2,50.20,1,0.0,,,,,,,,,
1436,華友聯,188835,231,21128369,111.5,113.0,111.0,112.0,+,0.5,111.50,9,112.00,20,11.8,,,,,,,,,
1437,勤益控,149252,100,4804023,32.0,32.3,32.0,32.2,+,0.2,32.20,12,32.25,1,11.42,,,,,,,,,
1438,三地開發,295039,288,14193371,47.8,48.9,47.5,48.1,+,0.1,48.10,9,48.20,2,0.0,,,,,,,,,
1439,雋揚,117903,166,3294971,27.9,28.25,27.6,27.9,-,0.1,27.80,3,27.90,1,13.95,,,,,,,,,
1440,南紡,2693030,1092,41696538,15.15,15.65,15.15,15.6,+,0.5,15.60,111,15.65,99,12.28,,,,,,,,,
1441,大東,23671,104,318052,13.5,13.5,13.35,13.5, ,0.0,13.40,2,13.50,5,0.0,,,,,,,,,
1442,名軒,821099,583,37066776,45.0,45.45,44.85,45.25,+,0.25,45.25,3,45.30,11,9.61,,,,,,,,,
1443,立益物流,29016,35,825248,28.45,28.8,28.3,28.45,+,0.05,28.45,1,28.55,1,22.05,,,,,,,,,
1444,力麗,1001679,500,9172787,9.11,9.18,9.11,9.17,+,0.06,9.16,10,9.17,39,0.0,,,,,,,,,
1445,大宇,587413,327,12760280,21.8,21.9,21.6,21.65,-,0.2,21.60,81,21.65,5,2.8,,,,,,,,,
1446,宏和,105461,72,3570709,33.75,34.1,33.75,34.0,+,0.25,33.85,1,34.00,11,42.5,,,,,,,,,
1447,力鵬,1195645,380,9640210,8.06,8.1,8.03,8.05,+,0.02,8.05,20,8.07,16,0.0,,,,,,,,,
1449,佳和,392987,283,7542375,18.95,19.45,18.95,19.1,+,0.15,19.05,9,19.10,1,31.83,,,,,,,,,
1451,年興,72473,131,1402422,19.35,19.4,19.25,19.35,+,0.05,19.35,1,19.40,24,0.0,,,,,,,,,
1452,宏益,22298,106,364947,16.4,16.45,16.35,16.35,+,0.05,16.35,12,16.40,21,41.92,,,,,,,,,
1453,大將,428368,350,6607293,15.2,15.6,15.15,15.45,+,0.45,15.40,17,15.45,5,27.11,,,,,,,,,
1454,台富,36412,24,579977,15.9,16.1,15.85,16.1,+,0.3,16.00,5,16.15,4,100.62,,,,,,,,,
1455,集盛,5915126,1707,88215590,14.45,15.15,14.45,14.9,+,0.5,14.90,2,14.95,62,0.0,,,,,,,,,
1456,怡華,82891,82,1577536,19.0,19.2,18.75,19.05, ,0.0,19.05,5,19.10,1,381.0,,,,,,,,,
1457,宜進,688332,348,13892795,20.05,20.25,20.05,20.2,+,0.25,20.20,29,20.25,24,7.92,,,,,,,,,
1459,聯發,107107,147,1045594,9.79,9.8,9.67,9.77, ,0.0,9.77,2,9.80,1,139.57,,,,,,,,,
1460,宏遠,1483915,470,12442006,8.38,8.44,8.27,8.35,+,0.02,8.34,4,8.36,19,0.0,,,,,,,,,
1463,強盛,41223,44,750897,18.2,18.35,18.2,18.2,-,0.05,18.20,5,18.25,10,28.0,,,,,,,,,
1464,得力,100749,222,1305939,12.9,13.0,12.9,12.95,+,0.15,12.90,71,12.95,1,99.62,,,,,,,,,
1465,偉全,187956,87,2858131,15.15,15.3,15.1,15.25,+,0.1,15.20,1,15.25,22,27.23,,,,,,,,,
1466,聚隆,46324,97,619129,13.5,13.5,13.3,13.4,-,0.1,13.35,2,13.40,12,0.0,,,,,,,,,
1467,南緯,151794,261,1655633,10.95,10.95,10.85,10.9,-,0.05,10.90,12,10.95,17,0.0,,,,,,,,,
1468,昶和,54000,43,734150,13.7,14.0,13.4,14.0,+,0.25,13.55,6,14.00,2,82.35,,,,,,,,,
1470,大統新創,7099,9,146158,20.7,20.7,20.5,20.5,X,0.0,20.50,6,21.00,3,35.34,,,,,,,,,
1471,首利,349835,293,5673014,16.15,16.45,16.15,16.15,+,0.05,16.15,36,16.20,5,0.0,,,,,,,,,
1472,三洋實業,202145,168,14495936,72.2,74.5,71.0,71.7,-,0.2,71.60,1,72.00,2,21.47,,,,,,,,,
1473,台南,653661,430,20196350,30.85,31.35,30.4,30.85, ,0.0,30.85,9,30.95,18,14.48,,,,,,,,,
1474,弘裕,150719,108,1858834,12.35,12.4,12.25,12.4,+,0.05,12.35,7,12.40,36,0.0,,,,,,,,,
1475,業旺,46317,39,2339183,50.6,50.8,50.3,50.3,-,0.3,50.30,3,50.40,1,11.95,,,,,,,,,
1476,儒鴻,430150,918,234742806,557.0,558.0,541.0,543.0,-,10.0,542.00,48,543.00,2,28.78,,,,,,,,,
1477,聚陽,1998302,1886,749042410,371.0,377.5,371.0,374.5,+,3.0,374.00,3,374.50,3,22.7,,,,,,,,,
1503,士電,5210104,5951,1575148418,298.0,307.0,293.5,307.0,+,15.0,306.50,11,307.00,8,68.07,,,,,,,,,
