symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,均價,發行股數,次日參考價,次日漲停價,次日跌停價,每股股利,股利年度,殖利率(%),股價淨值比
6671,三能-KY,23064,14,1001790,43.5,43.5,43.25,43.3,-,0.2,43.25,1,43.35,1,14.98,,,,,,,,,
6672,騰輝電子-KY,346330,412,31482674,90.1,91.5,90.0,91.0,+,1.4,91.00,1,91.10,3,15.07,,,,,,,,,
6674,鋐寶科技,27159,26,684770,25.65,25.95,24.75,25.95,+,0.25,25.60,1,25.90,2,0.0,,,,,,,,,
6679,鈺太,830807,905,368191769,429.0,450.0,429.0,444.5,,17.5,444.0,2,445.0,4,63.96,443.17,"54,975,335",444.5,488.5,400.5,5.5,112.0,1.24,4.71
6680,鑫創電子,100,2,8200,,,,,,,81.0,1,82.0,3,24.92,82.0,"21,066,067",82.0,90.2,73.8,2.3,112.0,2.8,3.69
6683,雍智科技,450595,1121,126590610,281.0,287.0,278.5,282.0,,1.5,281.5,3,282.5,5,21.58,280.94,"27,217,661",282.0,310.0,254.0,6.55,112.0,2.32,3.45
6684,安格,4535569,4373,396813459,84.7,90.0,84.3,84.6,,0.6,84.6,6,84.7,4,,87.49,"44,656,076",84.6,93.0,76.2,0.0,112.0,0.0,2.14
6689,伊雲谷,260723,284,29156931,110.5,113.0,110.5,111.5,+,1.5,111.50,5,112.00,4,41.14,,,,,,,,,
6690,安�硌穈T,23450,49,4111426,174.5,176.0,174.5,175.0,,0.0,175.0,4,175.5,1,20.21,175.33,"22,204,570",175.0,192.5,157.5,5.2,112.0,2.97,3.0
6691,洋基工程,162715,557,63263933,394.0,394.0,386.0,386.5,-,3.5,386.50,6,387.00,1,19.11,,,,,,,,,
6692,進能服,25001,21,768781,31.0,31.0,30.6,30.65,,-0.4,30.65,26,30.8,1,133.26,30.75,"51,940,973",30.65,33.7,27.6,1.4,112.0,4.57,1.7
6693,廣閎科,186016,334,13806294,76.1,76.4,72.4,72.6,,-2.2,72.3,1,73.0,1,201.67,74.22,"45,720,000",72.6,79.8,65.4,1.0,112.0,1.38,3.02
6695,芯鼎,5984920,4515,378725822,63.0,64.7,62.2,63.7,+,1.9,63.60,9,63.70,18,0.0,,,,,,,,,
