symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,均價,發行股數,次日 參考價,次日 漲停價,次日 跌停價,每股股利,股利年度,殖利率(%),股價淨值比
1101,台泥,10205021.0,5896.0,325664261.0,31.8,32.0,31.75,32.0,+,0.2,31.95,397,32.00,49,31.07,,,,,,,,,
1102,亞泥,4270909.0,2345.0,172934523.0,40.3,40.65,40.25,40.6,+,0.2,40.60,14,40.65,111,14.15,,,,,,,,,
1103,嘉泥,443267.0,467.0,7668829.0,17.35,17.4,17.2,17.3,-,0.05,17.30,6,17.35,12,144.17,,,,,,,,,
1104,環泥,2453602.0,1222.0,76930785.0,31.15,31.65,31.15,31.45,-,0.25,31.45,34,31.50,49,9.39,,,,,,,,,
1108,幸福,346563.0,177.0,5486444.0,15.8,15.9,15.8,15.85,+,0.05,15.80,74,15.85,40,8.61,,,,,,,,,
1109,信大,451425.0,289.0,7931506.0,17.6,17.65,17.5,17.6,+,0.05,17.55,60,17.60,3,10.35,,,,,,,,,
1110,東泥,48003.0,63.0,861796.0,18.0,18.0,17.9,18.0,+,0.1,17.95,2,18.00,19,38.3,,,,,,,,,
1201,味全,486316.0,411.0,9232812.0,19.0,19.2,18.8,18.95,+,0.05,18.90,37,18.95,4,67.68,,,,,,,,,
1203,味王,35106.0,84.0,1833712.0,51.4,53.8,51.3,52.1,+,0.7,51.90,3,52.40,1,30.29,,,,,,,,,
1210,大成,2077800.0,2359.0,124760528.0,59.5,60.4,59.5,60.1,+,0.5,60.10,56,60.20,49,13.66,,,,,,,,,
1213,大飲,21425.0,16.0,150846.0,7.03,7.07,7.03,7.03,-,0.07,7.03,4,7.09,3,0.0,,,,,,,,,
1215,卜蜂,1349678.0,1849.0,136637987.0,99.6,102.0,99.6,101.5,+,2.3,101.50,2,102.00,157,14.71,,,,,,,,,
1216,統一,5488242.0,3313.0,420298373.0,76.5,76.8,76.0,76.6,,0.0,76.60,217,76.70,45,23.72,,,,,,,,,
1217,愛之味,697102.0,563.0,8196203.0,11.75,11.8,11.7,11.75,+,0.05,11.75,55,11.80,77,35.61,,,,,,,,,
1218,泰山,636127.0,453.0,13618380.0,21.35,21.55,21.3,21.5,+,0.2,21.45,1,21.50,10,2.01,,,,,,,,,
1219,福壽,628833.0,364.0,11715617.0,18.7,18.7,18.6,18.65,,0.0,18.60,13,18.65,60,24.87,,,,,,,,,
1220,台榮,215256.0,194.0,2991902.0,13.9,13.95,13.85,13.85,-,0.1,13.85,51,13.90,2,31.48,,,,,,,,,
1225,福懋油,192458.0,56.0,10792073.0,55.8,56.1,55.8,56.1,+,0.5,56.00,1,56.10,2,49.21,,,,,,,,,
1227,佳格,385105.0,441.0,14496561.0,37.55,37.7,37.55,37.7,+,0.25,37.65,27,37.70,1,29.0,,,,,,,,,
1229,聯華,1388274.0,2349.0,95364350.0,69.4,69.4,68.3,68.6,-,0.2,68.60,11,68.70,6,27.11,,,,,,,,,
1231,聯華食,712418.0,2430.0,67076780.0,92.3,95.0,92.3,94.5,+,2.3,94.50,5,94.60,39,30.68,,,,,,,,,
1232,大統益,39672.0,158.0,5718563.0,144.0,144.5,143.5,144.0,+,0.5,144.00,3,144.50,11,19.12,,,,,,,,,
1233,天仁,66825.0,137.0,2260181.0,34.2,34.2,33.65,33.85,-,0.45,33.85,2,33.95,1,29.43,,,,,,,,,
1234,黑松,136926.0,153.0,5514945.0,40.15,40.4,40.15,40.35,+,0.2,40.25,7,40.40,3,16.81,,,,,,,,,
1235,興泰,15781.0,18.0,1278762.0,80.1,82.6,80.1,80.2,+,0.2,80.00,4,80.20,1,49.81,,,,,,,,,
1236,宏亞,53939.0,78.0,1268293.0,23.55,23.75,23.4,23.75,+,0.2,23.60,1,23.65,1,131.94,,,,,,,,,
1240,茂生農經,411786.0,540.0,21027954.0,51.0,52.7,49.25,49.25,,0.1,49.25,1,50.90,1,17.59,51.07,39370158,49.25,54.10,44.35,2.7,112.0,5.48,1.52
1256,鮮活果汁-KY,15446.0,147.0,3654928.0,235.5,239.0,235.5,239.0,+,3.5,237.50,1,239.00,2,16.21,,,,,,,,,
