symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,均價,發行股數,次日 參考價,次日 漲停價,次日 跌停價,每股股利,股利年度,殖利率(%),股價淨值比
1101,台泥,20157051.0,7939.0,653210333.0,32.0,32.65,31.9,32.6,+,0.6,32.55,236,32.60,321,31.65,,,,,,,,,
1102,亞泥,8049235.0,4835.0,341868957.0,42.2,42.7,42.1,42.7,+,0.7,42.60,4,42.70,196,13.91,,,,,,,,,
1103,嘉泥,775507.0,1017.0,13857820.0,17.75,18.0,17.7,17.8,+,0.25,17.80,35,17.85,9,148.33,,,,,,,,,
1104,環泥,1442283.0,1330.0,48157531.0,33.3,33.75,33.05,33.4,+,0.3,33.35,3,33.40,16,10.67,,,,,,,,,
1108,幸福,3447482.0,1421.0,58812349.0,16.8,17.4,16.75,16.95,+,0.25,16.90,17,16.95,64,13.04,,,,,,,,,
1109,信大,567844.0,335.0,11004119.0,19.3,19.5,19.2,19.4,+,0.25,19.35,8,19.40,2,9.65,,,,,,,,,
1110,東泥,289411.0,202.0,5451451.0,18.65,19.2,18.5,18.9,+,0.3,18.80,5,18.90,10,72.69,,,,,,,,,
1201,味全,609441.0,618.0,11360903.0,18.35,18.8,18.35,18.7,+,0.3,18.70,3,18.75,48,35.28,,,,,,,,,
1203,味王,9346.0,179.0,443458.0,47.8,47.8,47.05,47.6,+,0.6,47.00,1,47.70,1,26.44,,,,,,,,,
1210,大成,4127343.0,3031.0,232664215.0,56.2,56.9,55.9,56.4,+,0.9,56.40,18,56.50,1,11.73,,,,,,,,,
1213,大飲,93212.0,15.0,672609.0,7.2,7.23,7.2,7.23,+,0.11,7.13,1,7.29,8,0.0,,,,,,,,,
1215,卜蜂,400239.0,929.0,41485049.0,103.5,105.0,102.5,103.5,,0.0,103.50,8,104.00,4,13.44,,,,,,,,,
1216,統一,13819575.0,8931.0,1080962679.0,76.5,78.9,76.5,78.9,+,2.9,78.80,9,78.90,314,24.43,,,,,,,,,
1217,愛之味,1530866.0,745.0,18136181.0,11.75,11.95,11.7,11.95,+,0.2,11.90,25,11.95,166,29.15,,,,,,,,,
1218,泰山,1220592.0,722.0,25725739.0,20.75,21.25,20.6,21.1,+,0.55,21.05,56,21.10,4,0.0,,,,,,,,,
1219,福壽,378526.0,264.0,7114738.0,18.8,18.85,18.7,18.85,+,0.15,18.85,2,18.90,48,20.05,,,,,,,,,
1220,台榮,372975.0,642.0,5606301.0,15.0,15.15,14.9,15.05,+,0.05,15.05,28,15.10,3,19.8,,,,,,,,,
1225,福懋油,20957.0,42.0,1204044.0,58.3,58.3,57.2,57.8,+,0.3,57.40,6,57.90,4,36.12,,,,,,,,,
1227,佳格,541188.0,437.0,20261556.0,37.4,37.65,37.15,37.6,+,0.3,37.55,1,37.65,2,27.85,,,,,,,,,
1229,聯華,992022.0,1322.0,64774059.0,65.0,65.8,65.0,65.5,+,0.2,65.50,13,65.60,25,24.81,,,,,,,,,
1231,聯華食,252992.0,377.0,24377557.0,95.8,97.8,95.7,97.4,+,1.6,97.10,2,97.40,2,24.78,,,,,,,,,
1232,大統益,61047.0,154.0,8798148.0,144.5,144.5,143.5,144.5,+,1.0,144.00,13,144.50,4,19.19,,,,,,,,,
1233,天仁,23227.0,32.0,768104.0,33.3,33.3,33.0,33.1,-,0.2,33.05,1,33.10,1,31.23,,,,,,,,,
1234,黑松,92405.0,123.0,3828761.0,41.55,41.55,41.25,41.45,+,0.3,41.45,1,41.50,16,17.56,,,,,,,,,
1235,興泰,3577.0,15.0,290169.0,81.7,81.9,81.4,81.9,+,0.3,81.30,5,81.60,1,31.38,,,,,,,,,
1236,宏亞,87654.0,798.0,2051444.0,23.4,23.4,23.3,23.3,+,0.1,23.30,3,23.35,5,129.44,,,,,,,,,
1240,茂生農經,39987.0,157.0,2046991.0,50.8,51.5,50.8,51.0,,0.2,50.90,1,51.20,1,12.38,51.19,39370158,51.00,56.10,45.90,2.7,112.0,5.29,1.48
1256,鮮活果汁-KY,34406.0,319.0,7206004.0,213.0,213.0,208.0,208.0,-,3.0,208.00,1,208.50,1,16.76,,,,,,,,,
1259,安心,6341.0,31.0,467103.0,73.6,73.8,73.5,73.7,,-0.3,73.60,1,73.80,5,14.26,73.66,32389500,73.70,81.00,66.40,1.8,112.0,2.44,1.01
1264,德麥,22463.0,348.0,6726679.0,299.5,300.0,298.0,300.0,,-0.5,299.50,1,301.50,1,16.45,299.46,37064367,300.00,330.00,270.00,14.0,112.0,4.67,3.53
1268,漢來美食,38152.0,46.0,5652652.0,148.0,149.0,147.5,148.0,,-0.5,147.50,16,148.50,1,19.45,148.16,42223730,148.00,162.50,133.50,7.0,112.0,4.73,2.9
1301,台塑,11046485.0,6601.0,763376289.0,67.9,69.9,67.6,69.7,+,2.6,69.70,60,69.80,302,60.61,,,,,,,,,
1303,南亞,10628295.0,5975.0,606161947.0,56.1,57.6,56.1,57.3,+,2.3,57.30,55,57.40,32,71.62,,,,,,,,,
1304,台聚,2337344.0,1209.0,38149688.0,16.0,16.55,16.0,16.25,+,0.25,16.20,113,16.25,1,0.0,,,,,,,,,
1305,華夏,2331127.0,1261.0,42307900.0,18.0,18.35,17.9,18.2,+,0.25,18.20,69,18.25,20,30.85,,,,,,,,,
1307,三芳,673339.0,476.0,19589165.0,28.6,29.4,28.3,29.4,+,0.8,29.35,1,29.40,25,15.39,,,,,,,,,
1308,亞聚,1671708.0,948.0,31847178.0,18.75,19.3,18.7,19.05,+,0.45,19.05,25,19.10,18,95.25,,,,,,,,,
1309,台達化,696956.0,440.0,10691265.0,15.05,15.5,15.05,15.45,+,0.35,15.40,17,15.45,6,0.0,,,,,,,,,
1310,台苯,900463.0,542.0,11760465.0,12.85,13.2,12.85,13.05,+,0.2,13.05,2,13.10,19,0.0,,,,,,,,,
1312,國喬,3597589.0,1321.0,47531714.0,12.95,13.3,12.95,13.15,+,0.25,13.15,134,13.20,32,0.0,,,,,,,,,
1313,聯成,1292598.0,786.0,17393624.0,13.25,13.6,13.2,13.45,+,0.15,13.40,69,13.45,7,0.0,,,,,,,,,
1314,中石化,113555531.0,19899.0,1158987701.0,9.9,10.5,9.9,10.2,+,0.39,10.15,760,10.20,394,0.0,,,,,,,,,
1315,達新,31054.0,26.0,2204792.0,71.4,71.4,70.6,70.9,+,0.4,70.90,2,71.00,1,19.37,,,,,,,,,
1316,上曜,12089997.0,4081.0,226549578.0,17.8,19.15,17.75,19.15,+,1.7,19.15,32087,--,0,0.0,,,,,,,,,
1319,東陽,4244348.0,3115.0,518963968.0,123.0,126.5,120.0,121.0,-,2.5,120.50,8,121.50,112,23.73,,,,,,,,,
1321,大洋,773580.0,496.0,29039478.0,37.05,38.2,36.85,37.35,+,0.65,37.25,3,37.35,1,42.44,,,,,,,,,
1323,永裕,57697.0,67.0,1791434.0,31.1,31.2,31.0,31.1,,0.0,31.05,1,31.10,4,33.44,,,,,,,,,
1324,地球,141905.0,112.0,2128017.0,15.0,15.15,14.9,14.95,-,0.2,14.90,5,15.00,2,28.21,,,,,,,,,
