symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,均價,發行股數,次日 參考價,次日 漲停價,次日 跌停價,每股股利,股利年度,殖利率(%),股價淨值比
1101,台泥,15369093.0,9893.0,488373439.0,31.85,31.95,31.7,31.7,-,0.3,31.70,763,31.75,45,30.78,,,,,,,,,
1102,亞泥,5649670.0,2412.0,228179479.0,40.35,40.55,40.2,40.35,-,0.25,40.35,92,40.40,55,14.06,,,,,,,,,
1103,嘉泥,297226.0,340.0,5130371.0,17.25,17.35,17.2,17.25,-,0.05,17.25,4,17.30,6,143.75,,,,,,,,,
1104,環泥,1314213.0,917.0,41254447.0,31.35,31.6,31.25,31.4,-,0.05,31.35,3,31.40,24,9.37,,,,,,,,,
1108,幸福,473498.0,235.0,7448196.0,15.85,15.85,15.65,15.65,-,0.2,15.65,97,15.70,12,8.51,,,,,,,,,
1109,信大,266427.0,181.0,4689135.0,17.6,17.7,17.55,17.65,+,0.05,17.65,3,17.70,33,8.78,,,,,,,,,
1110,東泥,61749.0,47.0,1104132.0,17.85,17.95,17.8,17.85,-,0.15,17.85,12,17.90,7,37.98,,,,,,,,,
1201,味全,578784.0,536.0,10927906.0,18.95,19.0,18.8,18.8,-,0.15,18.80,18,18.85,5,35.47,,,,,,,,,
1203,味王,34066.0,67.0,1770042.0,51.3,52.3,51.3,52.2,+,0.1,51.70,1,52.00,2,30.35,,,,,,,,,
1210,大成,2148858.0,2593.0,129623441.0,60.1,60.9,60.0,60.1,,0.0,60.00,430,60.10,13,13.66,,,,,,,,,
1213,大飲,142491.0,48.0,1028785.0,7.05,7.35,7.03,7.29,+,0.26,7.10,5,7.27,3,0.0,,,,,,,,,
1215,卜蜂,514131.0,744.0,52304073.0,101.0,102.5,101.0,102.0,+,0.5,101.50,126,102.00,56,14.78,,,,,,,,,
1216,統一,15141307.0,7197.0,1176455242.0,76.0,78.6,76.0,78.0,+,1.4,77.80,12,78.00,110,24.15,,,,,,,,,
1217,愛之味,1705008.0,909.0,19896600.0,11.8,11.8,11.5,11.65,-,0.1,11.60,211,11.65,7,35.3,,,,,,,,,
1218,泰山,2973837.0,1740.0,65477221.0,21.5,22.35,21.5,22.0,+,0.5,21.95,7,22.00,44,2.05,,,,,,,,,
1219,福壽,2927781.0,1210.0,53709164.0,18.6,18.65,18.2,18.3,-,0.35,18.30,38,18.35,12,24.4,,,,,,,,,
1220,台榮,192589.0,178.0,2675800.0,13.85,13.95,13.85,13.9,+,0.05,13.85,42,13.90,17,31.59,,,,,,,,,
1225,福懋油,156124.0,47.0,8775105.0,55.3,56.3,55.3,56.3,+,0.2,56.20,1,56.30,5,49.39,,,,,,,,,
1227,佳格,388917.0,429.0,14609502.0,37.55,37.65,37.5,37.55,-,0.15,37.55,28,37.60,16,28.88,,,,,,,,,
1229,聯華,1529001.0,1616.0,105151002.0,68.6,69.3,68.3,69.2,+,0.6,69.10,1,69.20,30,27.35,,,,,,,,,
1231,聯華食,466644.0,946.0,44207053.0,93.8,95.5,93.8,95.2,+,0.7,95.10,5,95.20,4,30.91,,,,,,,,,
1232,大統益,60302.0,178.0,8699125.0,144.0,145.0,144.0,144.5,+,0.5,144.00,14,144.50,1,19.19,,,,,,,,,
1233,天仁,23444.0,68.0,791427.0,33.65,33.9,33.55,33.8,-,0.05,33.75,17,33.85,1,31.89,,,,,,,,,
1234,黑松,195487.0,212.0,7901021.0,40.5,40.55,40.3,40.55,+,0.2,40.50,1,40.60,6,16.9,,,,,,,,,
1235,興泰,5024.0,8.0,401102.0,79.6,80.2,79.6,80.2,,0.0,79.70,2,80.00,1,49.81,,,,,,,,,
1236,宏亞,6675.0,37.0,157951.0,23.75,23.75,23.55,23.55,-,0.2,23.55,1,23.60,1,130.83,,,,,,,,,
1240,茂生農經,166560.0,173.0,8434823.0,49.7,51.6,49.7,51.3,,2.05,50.80,1,51.30,10,18.32,50.64,39370158,51.30,56.40,46.20,2.7,112.0,5.26,1.58
1256,鮮活果汁-KY,19703.0,200.0,4638808.0,235.0,235.5,235.0,235.0,-,4.0,235.50,1,237.00,1,15.94,,,,,,,,,
1259,安心,49591.0,74.0,3696359.0,74.0,74.6,74.0,74.6,,0.0,74.60,3,74.90,2,14.43,74.54,32389500,74.60,82.00,67.20,1.8,112.0,2.41,1.02
1264,德麥,10411.0,562.0,3222204.0,310.0,310.0,309.0,309.0,,-3.0,308.50,1,310.00,2,17.07,309.50,37064367,309.00,339.50,278.50,14.0,112.0,4.53,3.79
1268,漢來美食,92664.0,112.0,14237151.0,154.5,154.5,152.5,154.0,,0.0,153.50,2,154.50,2,20.24,153.64,42223730,154.00,169.00,139.00,3.0,111.0,1.95,3.02
1301,台塑,9107708.0,7486.0,622845639.0,69.3,69.3,68.1,68.4,-,0.9,68.30,129,68.40,39,59.48,,,,,,,,,
1303,南亞,9629003.0,6717.0,536384703.0,56.6,56.8,55.3,55.6,-,1.1,55.60,35,55.70,38,69.5,,,,,,,,,
1304,台聚,1256193.0,1132.0,21541951.0,17.3,17.35,17.1,17.15,-,0.25,17.15,27,17.20,63,28.11,,,,,,,,,
1305,華夏,1876946.0,1139.0,35895852.0,19.35,19.45,19.0,19.05,-,0.3,19.05,3,19.10,31,32.29,,,,,,,,,
1307,三芳,363230.0,234.0,9750642.0,26.85,27.0,26.7,26.9,-,0.1,26.85,1,26.90,1,15.73,,,,,,,,,
1308,亞聚,2310176.0,3762.0,47039371.0,20.75,20.8,20.1,20.3,-,0.5,20.25,23,20.30,21,101.5,,,,,,,,,
1309,台達化,676024.0,767.0,10456137.0,15.65,15.7,15.35,15.45,-,0.3,15.45,12,15.50,54,0.0,,,,,,,,,
1310,台苯,987329.0,1302.0,13388775.0,13.8,13.8,13.45,13.45,-,0.4,13.45,20,13.50,10,0.0,,,,,,,,,
1312,國喬,5043519.0,4542.0,68005646.0,13.85,13.85,13.35,13.45,-,0.4,13.40,132,13.45,30,0.0,,,,,,,,,
1313,聯成,2077398.0,1065.0,28293427.0,13.75,13.75,13.55,13.6,-,0.25,13.60,106,13.65,55,0.0,,,,,,,,,
