symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,均價,發行股數,次日 參考價,次日 漲停價,次日 跌停價,每股股利,股利年度,殖利率(%),股價淨值比
1101,台泥,18522505.0,10165.0,601984543.0,32.05,32.8,32.0,32.8,+,0.9,32.75,39,32.80,679,27.8,,,,,,,,,
1102,亞泥,2818103.0,1852.0,112626046.0,39.8,40.15,39.7,40.15,+,0.55,40.10,15,40.15,17,13.99,,,,,,,,,
1103,嘉泥,1430225.0,810.0,25444566.0,17.9,18.05,17.6,17.9,+,0.05,17.90,14,17.95,28,68.85,,,,,,,,,
1104,環泥,666921.0,627.0,19430546.0,29.1,29.25,29.05,29.15,+,0.15,29.15,28,29.20,29,8.7,,,,,,,,,
1108,幸福,1066957.0,458.0,16628565.0,15.4,15.75,15.4,15.75,+,0.45,15.75,26,15.80,89,8.56,,,,,,,,,
1109,信大,516811.0,361.0,9131413.0,17.65,17.8,17.65,17.75,+,0.1,17.70,10,17.75,2,10.44,,,,,,,,,
1110,東泥,354414.0,128.0,6408241.0,18.15,18.25,18.0,18.05,+,0.05,18.00,29,18.05,3,38.4,,,,,,,,,
1201,味全,408318.0,458.0,7656293.0,18.65,18.9,18.65,18.8,+,0.15,18.75,1,18.80,18,67.14,,,,,,,,,
1203,味王,18769.0,132.0,1029142.0,54.6,55.9,54.5,55.0,+,0.4,54.60,2,54.80,1,31.98,,,,,,,,,
1210,大成,1473641.0,1227.0,84938259.0,57.0,58.1,57.0,58.0,+,1.0,57.90,4,58.00,6,13.18,,,,,,,,,
1213,大飲,54983.0,27.0,388759.0,7.3,7.3,6.91,7.09,-,0.01,7.06,3,7.09,1,0.0,,,,,,,,,
1215,卜蜂,319061.0,653.0,30613282.0,95.1,97.2,95.1,96.4,+,1.3,96.30,1,96.40,6,13.97,,,,,,,,,
1216,統一,7871289.0,5783.0,583204644.0,74.1,74.6,73.4,74.6,+,1.1,74.50,102,74.60,124,21.94,,,,,,,,,
1217,愛之味,2185922.0,1005.0,26636637.0,12.0,12.3,12.0,12.2,+,0.2,12.20,5,12.25,133,36.97,,,,,,,,,
1218,泰山,913857.0,748.0,19268949.0,20.95,21.3,20.9,21.05,+,0.2,21.00,43,21.05,2,1.97,,,,,,,,,
1219,福壽,443721.0,272.0,8458803.0,19.0,19.15,19.0,19.1,+,0.1,19.05,36,19.10,5,25.47,,,,,,,,,
1220,台榮,152382.0,178.0,2131880.0,14.0,14.1,13.9,14.05,+,0.05,14.05,5,14.10,19,31.93,,,,,,,,,
1225,福懋油,27985.0,47.0,1536355.0,54.6,55.2,54.5,55.2,+,0.2,55.00,1,55.30,1,48.42,,,,,,,,,
1227,佳格,759738.0,648.0,29166550.0,38.4,38.65,38.2,38.4,+,0.15,38.35,12,38.40,30,29.54,,,,,,,,,
1229,聯華,817222.0,1182.0,53285123.0,65.2,65.6,65.0,65.1,-,0.1,65.10,7,65.20,37,25.73,,,,,,,,,
1231,聯華食,104488.0,318.0,9150577.0,87.4,87.7,87.4,87.6,+,0.2,87.50,21,87.70,2,28.44,,,,,,,,,
