symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,均價,發行股數,次日參考價,次日漲停價,次日跌停價,每股股利,股利年度,殖利率(%),股價淨值比
1101,台泥,11622826,7234,365711750,31.1,31.6,31.05,31.55,+,0.45,31.50,433,31.55,206,30.63,,,,,,,,,
1102,亞泥,4690668,2637,194322031,41.2,41.6,41.1,41.6,+,0.3,41.55,7,41.60,7,13.55,,,,,,,,,
1103,嘉泥,458589,266,7912488,17.1,17.3,17.1,17.3,+,0.2,17.25,12,17.30,45,144.17,,,,,,,,,
1104,環泥,1554582,1027,48566163,31.5,31.6,31.0,31.1,-,0.3,31.10,2,31.15,1,9.94,,,,,,,,,
1108,幸福,2731695,777,43662676,15.9,16.1,15.85,15.95,+,0.15,15.95,49,16.00,95,8.67,,,,,,,,,
1109,信大,805890,373,15523107,19.1,19.35,19.1,19.25,+,0.2,19.20,11,19.25,6,9.58,,,,,,,,,
1110,東泥,75584,54,1344460,17.95,18.0,17.7,17.8,-,0.05,17.75,2,17.80,3,68.46,,,,,,,,,
1201,味全,368228,290,6936921,18.85,18.9,18.8,18.8,-,0.05,18.80,51,18.90,32,35.47,,,,,,,,,
1203,味王,17316,60,884797,51.0,51.5,50.9,51.4,+,0.2,50.90,7,51.40,1,29.88,,,,,,,,,
1210,大成,1256118,1179,72284241,57.8,58.0,57.2,57.4,-,0.3,57.40,49,57.50,9,11.93,,,,,,,,,
1213,大飲,34010,16,243704,7.14,7.25,7.14,7.2,+,0.02,7.20,22,7.25,6,0.0,,,,,,,,,
1215,卜蜂,422242,636,44681815,105.0,106.5,105.0,106.0,+,1.0,105.50,4,106.00,71,13.77,,,,,,,,,
1216,統一,16648104,17441,1250892151,75.6,75.7,74.4,75.5,-,0.1,75.40,10,75.50,252,23.37,,,,,,,,,
1217,愛之味,722463,1043,8531453,11.8,11.85,11.75,11.85,+,0.05,11.80,36,11.85,133,28.9,,,,,,,,,
1218,泰山,1735219,1334,38129542,22.4,22.4,21.8,21.85,-,0.4,21.85,1,21.95,17,2.04,,,,,,,,,
1219,福壽,311541,330,5834728,18.65,18.8,18.65,18.7,-,0.05,18.70,50,18.75,16,19.89,,,,,,,,,
1220,台榮,1062223,669,16082864,14.95,15.25,14.9,15.2,+,0.25,15.15,19,15.25,59,20.0,,,,,,,,,
1225,福懋油,24183,22,1355132,55.9,56.3,55.9,56.3,+,0.6,56.20,2,56.30,5,35.19,,,,,,,,,
1227,佳格,560415,431,21173574,37.65,37.95,37.6,37.75,+,0.1,37.75,2,37.80,18,29.04,,,,,,,,,
1229,聯華,1558053,1495,104258596,67.1,67.7,66.5,66.8,-,0.3,66.80,72,67.00,15,25.3,,,,,,,,,
1231,聯華食,261641,607,24803188,95.2,95.4,94.4,94.7,-,0.7,94.70,9,94.80,4,24.1,,,,,,,,,
1232,大統益,61556,158,8885810,144.0,145.0,144.0,145.0,+,0.5,145.00,3,145.50,5,19.26,,,,,,,,,
1233,天仁,15188,33,515006,33.95,34.0,33.85,33.85,-,0.05,33.85,1,34.10,1,31.93,,,,,,,,,
1234,黑松,260565,230,10672021,40.85,41.0,40.85,40.95,+,0.1,40.95,29,41.00,16,17.35,,,,,,,,,
1235,興泰,10595,32,857378,82.1,82.1,80.3,80.8,+,0.1,80.80,6,81.40,1,50.19,,,,,,,,,
1236,宏亞,47241,71,1104283,23.4,23.4,23.3,23.3,-,0.1,23.30,4,23.40,1,129.44,,,,,,,,,
1240,茂生農經,42106,92,2170108,51.6,51.9,51.0,51.3,,0.1,51.3,1,51.6,2,18.32,51.54,"39,370,158",51.3,56.4,46.2,2.7,112.0,5.26,1.58
1256,鮮活果汁-KY,16085,120,3729629,232.0,232.0,231.0,232.0, ,0.0,232.00,1,233.00,1,18.69,,,,,,,,,
1259,安心,25311,163,1885123,74.3,75.0,73.9,75.0,,0.1,74.6,1,74.9,1,14.51,74.48,"32,389,500",75.0,82.5,67.5,1.8,112.0,2.4,1.03
1264,德麥,17068,269,5214130,305.5,306.0,305.0,305.0,,-1.0,305.0,2,306.0,1,16.72,305.49,"37,064,367",305.0,335.5,274.5,14.0,112.0,4.59,3.59
1268,漢來美食,118049,130,18129862,154.0,154.5,152.5,154.0,,-0.5,153.5,2,154.5,2,20.24,153.58,"42,223,730",154.0,169.0,139.0,3.0,111.0,1.95,3.02
1301,台塑,10253572,6952,707060614,67.9,69.4,67.8,69.3,+,1.5,69.20,78,69.30,271,60.26,,,,,,,,,
1303,南亞,9710758,6321,547127362,55.5,56.7,55.3,56.4,+,1.1,56.40,35,56.50,126,70.5,,,,,,,,,
1304,台聚,2819067,1335,45340275,16.05,16.3,16.0,16.05, ,0.0,16.05,24,16.10,53,0.0,,,,,,,,,
1305,華夏,1697497,1016,30983817,18.2,18.5,18.1,18.15,-,0.05,18.15,19,18.20,29,30.76,,,,,,,,,
1307,三芳,899140,621,25544813,28.25,28.9,28.0,28.25, ,0.0,28.20,13,28.25,5,14.79,,,,,,,,,
1308,亞聚,940450,1018,18243984,19.35,19.6,19.25,19.3,-,0.05,19.30,2,19.35,21,96.5,,,,,,,,,
1309,台達化,1129520,830,17515219,15.4,15.6,15.35,15.6,+,0.2,15.55,2,15.60,6,0.0,,,,,,,,,
1310,台苯,421822,783,5725958,13.65,13.65,13.5,13.5,-,0.15,13.50,11,13.55,2,0.0,,,,,,,,,
1312,國喬,2219628,1054,30026807,13.35,13.7,13.35,13.4, ,0.0,13.40,99,13.45,52,0.0,,,,,,,,,
1313,聯成,1143203,563,15121528,13.1,13.35,13.1,13.2,+,0.05,13.20,27,13.25,21,0.0,,,,,,,,,
1314,中石化,9251499,3518,87171280,9.45,9.47,9.36,9.36,-,0.07,9.36,264,9.37,20,0.0,,,,,,,,,
1315,達新,59801,48,4318135,72.3,72.4,72.1,72.2,+,0.1,72.10,15,72.30,10,19.73,,,,,,,,,
1316,上曜,14027090,5183,260861869,19.35,19.35,18.1,18.1,-,1.1,18.10,128,18.15,13,0.0,,,,,,,,,
1319,東陽,9494477,6039,1109517645,119.0,120.0,113.5,118.5, ,0.0,118.00,13,118.50,282,23.24,,,,,,,,,
1321,大洋,84228,67,2920015,34.55,34.9,34.55,34.8,+,0.3,34.55,7,34.80,5,39.55,,,,,,,,,
1323,永裕,22348,357,692111,30.95,31.0,30.95,31.0, ,0.0,31.00,1,31.10,15,33.33,,,,,,,,,
1324,地球,104360,232,1591028,15.25,15.6,15.05,15.25, ,0.0,15.05,12,15.30,1,28.77,,,,,,,,,
1325,恆大,466119,428,13523089,29.1,29.25,28.85,28.9,-,0.35,28.90,6,28.95,5,137.62,,,,,,,,,
1326,台化,7368251,3518,408033939,54.7,55.7,54.2,55.6,+,1.0,55.60,145,55.70,114,38.08,,,,,,,,,
1336,台翰,35516,41,721020,20.35,20.45,20.3,20.3,,0.0,20.3,22,20.4,1,14.6,20.3,"78,818,419",20.3,22.3,18.3,0.41,112.0,2.02,0.9
1337,再生-KY,332908,275,2392023,7.14,7.3,7.14,7.22,+,0.09,7.21,5,7.23,3,0.0,,,,,,,,,
1338,廣華-KY,200199,237,7012692,35.0,35.2,34.8,35.05, ,0.0,35.05,1,35.10,1,0.0,,,,,,,,,
1339,昭輝,388828,451,26319449,69.6,69.9,66.7,67.1,-,2.5,67.10,2,67.20,4,11.41,,,,,,,,,
1340,勝悅-KY,82577,299,823619,9.98,10.0,9.94,9.98, ,0.0,9.98,1,9.99,5,0.0,,,,,,,,,
1341,富林-KY,30245,39,1954762,64.8,65.0,64.4,64.7,-,0.3,64.60,2,64.70,1,14.54,,,,,,,,,
1342,八貫,780837,896,101504619,132.0,132.5,128.0,129.5,-,2.0,129.00,3,129.50,5,17.43,,,,,,,,,
1402,遠東新,3744609,2319,122134603,32.4,32.8,32.35,32.6,+,0.2,32.55,71,32.60,48,21.17,,,,,,,,,
1409,新纖,2679093,1269,41969545,15.75,15.85,15.55,15.55,-,0.15,15.55,49,15.60,3,33.09,,,,,,,,,
1410,南染,94000,58,3371050,35.95,36.25,35.7,35.7,-,0.25,35.70,2,35.75,1,59.5,,,,,,,,,
1413,宏洲,34940,23,314713,9.0,9.07,8.98,8.99,-,0.01,8.99,4,9.04,2,0.0,,,,,,,,,
1414,東和,936251,597,18324967,19.3,19.9,19.25,19.6,+,0.5,19.55,31,19.65,5,130.67,,,,,,,,,
1416,廣豐,641222,495,7788555,12.15,12.3,12.05,12.1, ,0.0,12.05,64,12.10,137,23.73,,,,,,,,,
1417,嘉裕,402506,747,4591173,11.35,11.5,11.3,11.4,+,0.05,11.35,12,11.40,1,0.0,,,,,,,,,
1418,東華,212461,197,7113828,34.6,34.7,32.75,33.7,-,0.5,33.35,1,33.70,1,45.54,,,,,,,,,
1419,新紡,27796,33,1256446,45.3,45.3,45.1,45.1,-,0.2,45.10,1,45.25,1,20.78,,,,,,,,,
