symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,均價,發行股數,次日 參考價,次日 漲停價,次日 跌停價,每股股利,股利年度,殖利率(%),股價淨值比
1101,台泥,19151629.0,7638.0,624026863.0,32.5,32.9,32.3,32.7,+,0.05,32.7,435,32.75,177,31.75,,,,,,,,,
1102,亞泥,5455689.0,2659.0,228596269.0,41.5,42.15,41.5,42.15,+,0.7,42.05,1,42.15,121,13.73,,,,,,,,,
1103,嘉泥,403536.0,330.0,7131148.0,17.4,17.8,17.4,17.8,+,0.35,17.75,32,17.80,10,148.33,,,,,,,,,
1104,環泥,2144306.0,2264.0,71745545.0,33.3,33.8,33.05,33.3,+,0.15,33.3,91,33.40,20,10.64,,,,,,,,,
1108,幸福,8292166.0,3209.0,141560048.0,16.55,17.55,16.5,17.05,+,0.6,17.0,52,17.05,33,13.12,,,,,,,,,
1109,信大,360093.0,223.0,6975996.0,19.25,19.5,19.15,19.4,+,0.15,19.35,12,19.40,31,9.65,,,,,,,,,
1110,東泥,329185.0,160.0,6078228.0,18.25,18.9,18.15,18.65,+,0.25,18.6,3,18.65,27,71.73,,,,,,,,,
1201,味全,302930.0,393.0,5602601.0,18.5,18.6,18.4,18.6,+,0.1,18.55,12,18.60,61,35.09,,,,,,,,,
1203,味王,31817.0,145.0,1523656.0,47.7,48.5,47.5,47.8,-,0.8,48.1,1,48.15,1,26.56,,,,,,,,,
1210,大成,3213943.0,1927.0,179152718.0,55.6,56.2,55.3,55.7,+,0.1,55.7,25,55.90,1,11.58,,,,,,,,,
1213,大飲,27600.0,22.0,196960.0,7.19,7.19,7.09,7.11,+,0.03,7.12,1,7.18,6,0.0,,,,,,,,,
1215,卜蜂,423436.0,691.0,44059387.0,104.5,105.5,102.5,104.5,,0.0,104.5,11,105.00,4,13.57,,,,,,,,,
1216,統一,12651184.0,4614.0,967283526.0,75.1,77.2,75.1,76.8,+,1.4,76.6,10,76.80,210,23.78,,,,,,,,,
1217,愛之味,3195836.0,1939.0,38428024.0,11.85,12.15,11.85,12.15,+,0.3,12.15,21,12.20,139,29.63,,,,,,,,,
1218,泰山,601718.0,466.0,12609665.0,20.8,21.1,20.65,20.95,+,0.15,20.95,21,21.00,5,0.0,,,,,,,,,
1219,福壽,466500.0,299.0,8747498.0,18.65,18.85,18.55,18.8,+,0.15,18.8,12,18.85,51,20.0,,,,,,,,,
1220,台榮,242484.0,185.0,3630124.0,14.85,15.05,14.75,15.0,+,0.15,15.0,7,15.05,6,19.74,,,,,,,,,
1225,福懋油,32834.0,39.0,1877567.0,57.1,57.5,57.0,57.3,-,0.2,57.3,1,57.70,2,35.81,,,,,,,,,
1227,佳格,618871.0,515.0,23188601.0,37.6,37.65,37.3,37.55,-,0.05,37.55,1,37.60,5,27.81,,,,,,,,,
1229,聯華,1161886.0,1716.0,76673701.0,66.3,66.3,65.6,66.1,-,0.2,66.1,4,66.20,14,25.04,,,,,,,,,
1231,聯華食,183571.0,295.0,17812653.0,95.5,97.6,95.3,97.6,+,2.1,97.5,1,97.60,1,24.83,,,,,,,,,
1232,大統益,44189.0,168.0,6394286.0,144.5,145.0,144.5,144.5,-,0.5,144.5,3,145.50,5,19.19,,,,,,,,,
1233,天仁,13740.0,30.0,456952.0,33.25,33.25,33.15,33.25,,0.0,33.25,1,33.40,1,31.37,,,,,,,,,
1234,黑松,151514.0,154.0,6246941.0,41.1,41.35,41.1,41.25,+,0.1,41.2,27,41.35,5,17.48,,,,,,,,,
1235,興泰,20020.0,25.0,1633932.0,81.7,82.1,81.3,82.1,,0.0,81.7,2,81.90,1,31.46,,,,,,,,,
1236,宏亞,18694.0,75.0,432329.0,23.2,23.2,23.1,23.2,-,0.1,23.2,6,23.30,9,128.89,,,,,,,,,
1240,茂生農經,12707.0,66.0,649314.0,51.4,51.4,51.0,51.1,,0.0,51.00,1,51.10,1,12.4,51.10,39370158,51.10,56.20,46.00,2.7,112.0,5.28,1.49
1256,鮮活果汁-KY,13089.0,190.0,2828412.0,215.0,216.5,214.0,216.5,-,0.5,216.0,1,219.00,3,17.45,,,,,,,,,
1259,安心,41127.0,28.0,3042197.0,74.0,74.7,73.7,74.0,,0.0,74.50,1,74.80,1,14.31,73.97,32389500,74.00,81.40,66.60,1.8,112.0,2.43,1.01
1264,德麥,10499.0,143.0,3187243.0,303.0,304.0,303.0,303.0,,0.0,302.50,2,303.00,1,16.61,303.58,37064367,303.00,333.00,273.00,14.0,112.0,4.62,3.56
1268,漢來美食,85754.0,112.0,12772711.0,147.0,150.5,147.0,149.0,,1.0,149.00,1,150.00,1,19.58,148.95,42223730,149.00,163.50,134.50,7.0,112.0,2.01,2.92
1301,台塑,9175546.0,6477.0,621118811.0,67.6,68.3,67.2,68.1,+,0.3,68.1,70,68.20,4,59.22,,,,,,,,,
1303,南亞,6719067.0,3240.0,371721430.0,54.9,55.9,54.7,55.8,+,0.8,55.8,10,55.90,145,69.75,,,,,,,,,
1304,台聚,1955673.0,1080.0,31679599.0,16.2,16.4,16.05,16.35,+,0.15,16.35,9,16.40,58,0.0,,,,,,,,,
1305,華夏,1346295.0,907.0,24339225.0,18.15,18.2,17.95,18.15,,0.0,18.1,54,18.15,10,30.76,,,,,,,,,
1307,三芳,310643.0,246.0,8998360.0,28.55,29.25,28.55,28.95,+,0.25,28.95,7,29.05,2,15.16,,,,,,,,,
1308,亞聚,862782.0,938.0,16203673.0,18.9,18.9,18.65,18.9,,0.0,18.85,1,18.90,46,94.5,,,,,,,,,
1309,台達化,268503.0,373.0,4092800.0,15.2,15.35,15.15,15.35,+,0.05,15.35,6,15.40,10,0.0,,,,,,,,,
1310,台苯,418334.0,635.0,5376968.0,12.9,12.95,12.75,12.95,+,0.05,12.95,10,13.00,21,0.0,,,,,,,,,
1312,國喬,2660261.0,1483.0,34372276.0,13.0,13.15,12.8,13.1,+,0.15,13.1,12,13.15,73,0.0,,,,,,,,,
1313,聯成,874882.0,452.0,11686762.0,13.35,13.5,13.25,13.45,+,0.1,13.45,37,13.50,107,0.0,,,,,,,,,
1314,中石化,35936231.0,7985.0,354371018.0,9.6,9.97,9.51,9.93,+,0.33,9.92,357,9.93,321,0.0,,,,,,,,,
1315,達新,24403.0,28.0,1731970.0,71.0,71.0,70.9,70.9,-,0.1,71.0,1,71.10,1,19.37,,,,,,,,,
1316,上曜,7389254.0,3040.0,132813723.0,17.8,18.25,17.5,18.0,+,0.05,18.0,164,18.05,7,0.0,,,,,,,,,
1319,東陽,4495617.0,3550.0,576404741.0,130.0,132.5,126.0,127.0,-,2.5,126.5,12,127.00,24,24.9,,,,,,,,,
1321,大洋,458068.0,242.0,17029400.0,36.95,37.6,36.7,37.2,+,0.05,37.05,3,37.20,1,42.27,,,,,,,,,
1323,永裕,23315.0,24.0,723115.0,31.0,31.15,30.95,31.15,,0.0,31.0,4,31.05,1,33.49,,,,,,,,,
1324,地球,119585.0,207.0,1798170.0,15.0,15.2,14.85,15.1,+,0.1,15.1,2,15.15,7,28.49,,,,,,,,,
1325,恆大,919016.0,1337.0,26895515.0,28.2,30.25,27.85,29.05,+,0.85,29.05,9,29.10,1,138.33,,,,,,,,,
1326,台化,5089352.0,3298.0,272830246.0,53.5,54.0,53.3,53.6,,0.0,53.6,143,53.70,4,36.71,,,,,,,,,
1336,台翰,34442.0,36.0,668764.0,19.25,19.55,19.25,19.4,,0.15,19.40,1,19.45,2,13.96,19.42,78818419,19.40,21.30,17.50,0.41,112.0,2.11,0.86
1337,再生-KY,289288.0,254.0,2080208.0,7.18,7.27,7.12,7.24,+,0.06,7.22,1,7.25,26,0.0,,,,,,,,,
1338,廣華-KY,303104.0,58.0,10262337.0,33.9,34.4,33.55,34.1,+,0.45,34.1,6,34.15,3,0.0,,,,,,,,,
1339,昭輝,949493.0,744.0,69093917.0,71.2,74.5,70.4,71.9,+,1.2,71.9,2,72.20,9,12.23,,,,,,,,,
1340,勝悅-KY,53938.0,430.0,539464.0,9.95,10.05,9.95,10.0,,0.0,9.99,2,10.00,6,0.0,,,,,,,,,
1341,富林-KY,36388.0,33.0,2294583.0,63.0,63.3,62.9,63.3,+,0.2,63.2,1,63.40,1,14.22,,,,,,,,,
1342,八貫,267425.0,333.0,33551040.0,125.5,126.5,123.5,125.5,+,0.5,125.5,10,126.00,4,16.89,,,,,,,,,
1402,遠東新,5711426.0,3204.0,182088805.0,31.95,32.15,31.7,31.8,-,0.15,31.8,166,31.85,6,20.65,,,,,,,,,
1409,新纖,4152361.0,1421.0,67578837.0,16.15,16.45,16.0,16.4,+,0.25,16.35,34,16.40,94,34.89,,,,,,,,,
1410,南染,30524.0,59.0,1063912.0,34.8,35.0,34.65,34.9,+,0.1,34.85,4,34.90,2,145.42,,,,,,,,,
1413,宏洲,97563.0,53.0,878938.0,9.02,9.1,8.96,9.01,-,0.15,9.04,1,9.09,1,0.0,,,,,,,,,
1414,東和,156664.0,291.0,2888306.0,18.5,18.55,18.25,18.55,+,0.05,18.45,2,18.55,14,123.67,,,,,,,,,
1416,廣豐,1024999.0,350.0,12771066.0,12.4,12.6,12.3,12.5,+,0.2,12.45,46,12.50,13,24.51,,,,,,,,,
1417,嘉裕,306779.0,388.0,3413294.0,11.15,11.2,11.05,11.2,,0.0,11.15,40,11.20,37,0.0,,,,,,,,,
1418,東華,90332.0,198.0,2939145.0,32.8,32.9,32.3,32.4,-,0.6,32.35,1,32.40,1,43.78,,,,,,,,,
1419,新紡,88003.0,76.0,4159188.0,46.4,47.6,46.3,47.4,+,0.6,47.3,3,47.40,1,21.84,,,,,,,,,
1423,利華,52571.0,627.0,1630387.0,30.9,31.15,30.9,31.15,+,0.15,31.0,20,31.10,1,43.87,,,,,,,,,
1432,大魯閣,183495.0,297.0,3263839.0,17.9,17.9,17.65,17.85,,0.0,17.85,12,17.90,2,26.64,,,,,,,,,
1434,福懋,953805.0,953.0,21156551.0,22.2,22.25,22.1,22.15,-,0.05,22.15,94,22.20,3,85.19,,,,,,,,,
1435,中福,13251.0,88.0,629206.0,47.25,48.0,47.0,48.0,-,0.5,47.0,2,52.00,2,0.0,,,,,,,,,
1436,華友聯,443731.0,418.0,50541579.0,110.5,115.0,110.0,115.0,+,4.5,114.5,3,115.00,11,12.12,,,,,,,,,
1437,勤益控,198616.0,140.0,6394942.0,32.1,32.45,31.9,32.4,+,0.35,32.3,1,32.40,4,11.49,,,,,,,,,
1438,三地開發,553373.0,402.0,30063679.0,52.4,55.5,52.4,55.5,+,2.7,55.5,7,55.60,1,0.0,,,,,,,,,
1439,雋揚,92073.0,59.0,2473049.0,26.05,27.55,26.05,27.05,+,1.0,27.0,11,27.10,1,13.52,,,,,,,,,
1440,南紡,1283218.0,586.0,20201758.0,15.6,15.85,15.5,15.85,+,0.25,15.8,49,15.85,90,12.48,,,,,,,,,
1441,大東,96794.0,334.0,1272043.0,13.2,13.5,13.1,13.2,,0.0,13.1,8,13.20,2,0.0,,,,,,,,,
1442,名軒,1792919.0,1519.0,88519659.0,49.25,49.8,48.65,49.8,+,0.55,49.75,2,49.80,47,10.57,,,,,,,,,
1443,立益物流,320497.0,207.0,9952258.0,28.7,31.6,28.7,31.6,+,2.85,31.6,140,--,0,24.5,,,,,,,,,
1444,力麗,2161577.0,1001.0,20090500.0,9.1,9.41,9.07,9.34,+,0.24,9.33,11,9.34,49,0.0,,,,,,,,,
1445,大宇,772297.0,318.0,17228044.0,22.2,22.5,22.0,22.45,+,0.35,22.4,5,22.45,9,2.91,,,,,,,,,
1446,宏和,98394.0,63.0,3411724.0,34.55,34.9,34.45,34.8,+,0.25,34.8,2,34.85,2,43.5,,,,,,,,,
1447,力鵬,692500.0,420.0,5435848.0,7.79,7.91,7.72,7.86,+,0.08,7.86,8,7.89,6,0.0,,,,,,,,,
1449,佳和,161198.0,344.0,2949696.0,18.2,18.45,18.15,18.45,+,0.1,18.35,4,18.45,8,30.75,,,,,,,,,
1451,年興,196690.0,162.0,3968185.0,19.9,20.25,19.9,20.2,+,0.3,20.2,7,20.25,56,0.0,,,,,,,,,
1452,宏益,194397.0,100.0,3250638.0,16.65,16.95,16.55,16.8,+,0.05,16.65,3,16.80,8,43.08,,,,,,,,,
1453,大將,2563383.0,1741.0,56950625.0,21.2,23.95,20.6,23.95,+,2.15,23.9,7,23.95,66,42.02,,,,,,,,,
1454,台富,153036.0,88.0,2353513.0,15.4,15.7,15.3,15.4,-,0.2,15.35,4,15.50,3,96.25,,,,,,,,,
1455,集盛,2052855.0,890.0,25589982.0,12.6,12.6,12.35,12.55,-,0.1,12.5,13,12.55,46,0.0,,,,,,,,,
1456,怡華,417983.0,250.0,8574738.0,19.6,21.2,19.6,20.5,+,0.6,20.5,9,20.55,4,410.0,,,,,,,,,
1457,宜進,628987.0,356.0,12697479.0,20.2,20.7,20.0,20.3,+,0.1,20.25,1,20.30,9,7.96,,,,,,,,,
1459,聯發,135892.0,213.0,1318778.0,9.75,9.75,9.66,9.71,-,0.09,9.68,5,9.72,1,138.71,,,,,,,,,
1460,宏遠,490476.0,226.0,3811233.0,7.76,7.9,7.67,7.79,+,0.01,7.79,11,7.80,1,0.0,,,,,,,,,
1463,強盛,90849.0,65.0,1650331.0,18.15,18.25,18.0,18.15,,0.0,18.15,24,18.20,6,27.92,,,,,,,,,
1464,得力,266670.0,177.0,3492646.0,13.0,13.15,12.9,13.0,+,0.05,13.0,12,13.05,2,100.0,,,,,,,,,
