symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,均價,發行股數,次日 參考價,次日 漲停價,次日 跌停價,每股股利,股利年度,殖利率(%),股價淨值比
1101,台泥,24394412.0,16282.0,767624499.0,31.65,31.7,31.4,31.4,-,0.3,31.40,196,31.45,119,30.49,,,,,,,,,
1102,亞泥,6339456.0,3389.0,258466275.0,41.1,41.15,40.55,40.55,-,0.55,40.55,160,40.70,53,13.21,,,,,,,,,
1103,嘉泥,284089.0,423.0,4869015.0,17.15,17.15,17.1,17.15,,0.0,17.10,75,17.20,37,142.92,,,,,,,,,
1104,環泥,1395942.0,1594.0,45356233.0,32.45,32.8,32.3,32.35,-,0.15,32.35,21,32.40,12,10.34,,,,,,,,,
1108,幸福,1420819.0,574.0,22200836.0,15.5,15.8,15.4,15.6,+,0.05,15.60,41,15.65,18,8.48,,,,,,,,,
1109,信大,596315.0,361.0,11334404.0,19.15,19.15,18.9,19.05,-,0.05,19.00,42,19.05,4,9.48,,,,,,,,,
1110,東泥,69315.0,137.0,1231331.0,17.75,17.85,17.7,17.7,-,0.15,17.70,22,17.75,13,68.08,,,,,,,,,
1201,味全,293453.0,385.0,5536303.0,18.9,18.95,18.8,18.8,-,0.15,18.80,29,18.90,30,35.47,,,,,,,,,
1203,味王,18541.0,91.0,944756.0,49.95,51.5,49.95,51.3,X,0.0,51.30,4,51.40,1,29.83,,,,,,,,,
1210,大成,1854016.0,2000.0,106455044.0,57.1,57.7,57.1,57.2,+,0.1,57.20,115,57.30,8,11.89,,,,,,,,,
1213,大飲,189347.0,52.0,1366763.0,7.08,7.3,7.04,7.3,+,0.22,7.11,2,7.30,12,0.0,,,,,,,,,
1215,卜蜂,940679.0,1120.0,97268414.0,102.5,104.5,102.5,103.5,+,1.5,103.50,23,104.00,11,13.44,,,,,,,,,
1216,統一,17356137.0,8463.0,1320085684.0,75.7,76.4,75.6,75.9,-,0.4,75.90,249,76.10,17,23.5,,,,,,,,,
1217,愛之味,503673.0,429.0,5892193.0,11.7,11.75,11.65,11.7,,0.0,11.65,78,11.70,107,28.54,,,,,,,,,
1218,泰山,559133.0,524.0,11993816.0,21.2,21.6,21.2,21.4,+,0.1,21.35,4,21.40,3,2.0,,,,,,,,,
1219,福壽,357793.0,471.0,6649266.0,18.65,18.7,18.5,18.6,-,0.05,18.55,33,18.60,3,19.79,,,,,,,,,
1220,台榮,766684.0,350.0,11213640.0,14.9,14.9,14.5,14.65,-,0.05,14.60,35,14.70,39,19.28,,,,,,,,,
1225,福懋油,10782.0,24.0,596197.0,55.0,55.5,55.0,55.5,+,0.1,55.30,1,55.50,1,34.69,,,,,,,,,
