symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,均價,發行股數,次日 參考價,次日 漲停價,次日 跌停價,每股股利,股利年度,殖利率(%),股價淨值比
1101,台泥,11611443.0,6298.0,376946447.0,32.5,32.55,32.25,32.4,-,0.3,32.40,461,32.45,9,31.46,,,,,,,,,
1102,亞泥,3430495.0,3015.0,143973012.0,42.3,42.3,41.7,42.05,-,0.45,42.05,5,42.10,37,13.7,,,,,,,,,
1103,嘉泥,335595.0,212.0,5960041.0,17.9,17.9,17.7,17.75,-,0.1,17.70,67,17.75,2,147.92,,,,,,,,,
1104,環泥,2228752.0,1006.0,72673950.0,32.75,32.8,32.5,32.6,-,0.35,32.60,10,32.65,1,10.42,,,,,,,,,
1108,幸福,1349426.0,520.0,22063682.0,16.5,16.5,16.25,16.3,-,0.2,16.30,138,16.35,11,12.54,,,,,,,,,
1109,信大,1759046.0,972.0,33946278.0,19.8,19.8,19.0,19.35,-,0.65,19.30,47,19.35,14,9.63,,,,,,,,,
1110,東泥,164199.0,93.0,2989585.0,18.45,18.45,18.1,18.15,-,0.2,18.15,1,18.20,3,69.81,,,,,,,,,
1201,味全,307432.0,286.0,5842067.0,19.0,19.1,18.9,18.95,-,0.05,18.90,38,19.00,3,35.75,,,,,,,,,
1203,味王,38496.0,170.0,1874688.0,49.25,49.85,47.55,49.05,-,0.8,49.20,1,49.25,1,27.25,,,,,,,,,
1210,大成,2146895.0,4227.0,123161936.0,57.8,57.8,57.1,57.4,-,0.6,57.30,200,57.40,7,11.93,,,,,,,,,
1213,大飲,36195.0,20.0,258950.0,7.15,7.2,7.12,7.12,,0.0,7.12,9,7.20,6,0.0,,,,,,,,,
1215,卜蜂,500488.0,1106.0,53879164.0,108.5,109.0,106.5,107.0,-,2.5,106.50,46,107.00,2,13.9,,,,,,,,,
1216,統一,6523093.0,3876.0,498493218.0,76.6,76.8,75.9,76.4,,0.0,76.40,114,76.50,5,23.65,,,,,,,,,
1217,愛之味,699132.0,676.0,8337180.0,12.0,12.0,11.9,11.9,-,0.1,11.90,220,11.95,81,29.02,,,,,,,,,
1218,泰山,1003728.0,742.0,21711653.0,21.9,21.95,21.5,21.5,-,0.3,21.50,220,21.60,3,0.0,,,,,,,,,
1219,福壽,407268.0,259.0,7674115.0,18.9,18.9,18.7,18.9,,0.0,18.80,3,18.90,35,20.11,,,,,,,,,
1220,台榮,490961.0,251.0,7430865.0,15.4,15.4,14.95,15.05,-,0.25,15.05,1,15.10,12,19.8,,,,,,,,,
1225,福懋油,17620.0,30.0,1003622.0,56.7,57.3,56.7,56.7,+,0.1,56.60,4,57.20,1,35.44,,,,,,,,,
1227,佳格,302451.0,363.0,11638715.0,38.75,38.75,38.4,38.4,-,0.35,38.40,40,38.45,4,28.44,,,,,,,,,
1229,聯華,495353.0,865.0,33553362.0,68.0,68.0,67.4,67.7,-,0.3,67.70,11,67.80,15,25.64,,,,,,,,,
1231,聯華食,177808.0,418.0,17291324.0,97.6,97.6,97.0,97.0,-,0.8,97.00,25,97.10,2,24.68,,,,,,,,,
1232,大統益,48477.0,127.0,7077492.0,146.0,146.5,145.5,145.5,-,0.5,145.50,17,146.00,2,19.32,,,,,,,,,
1233,天仁,8052.0,41.0,273139.0,33.85,34.0,33.85,34.0,+,0.15,33.95,4,34.00,1,32.08,,,,,,,,,
1234,黑松,264419.0,216.0,10994926.0,41.8,41.8,41.2,41.5,-,0.4,41.50,90,41.65,2,17.58,,,,,,,,,
1235,興泰,7169.0,15.0,590244.0,81.5,82.6,81.5,82.2,-,0.5,82.20,1,82.50,1,31.49,,,,,,,,,
1236,宏亞,12828.0,49.0,299171.0,23.3,23.35,23.3,23.35,-,0.05,23.35,1,23.40,1,129.72,,,,,,,,,
1240,茂生農經,35958.0,95.0,1886555.0,52.5,52.7,52.3,52.3,,-0.9,52.20,4,52.50,1,12.69,52.47,39370158,52.30,57.50,47.10,2.7,112.0,5.16,1.52
1256,鮮活果汁-KY,20690.0,515.0,4831425.0,232.0,236.5,231.0,233.5,,0.0,233.00,1,236.00,1,18.82,,,,,,,,,
1259,安心,14078.0,22.0,1056630.0,75.0,75.2,75.0,75.2,,0.4,75.00,1,75.20,1,14.55,75.06,32389500,75.20,82.70,67.70,1.8,112.0,2.39,1.03
1264,德麥,20429.0,122.0,6221020.0,304.5,304.5,304.0,304.0,,-0.5,304.00,2,305.00,1,16.67,304.52,37064367,304.00,334.00,274.00,14.0,112.0,4.61,3.57
1268,漢來美食,260130.0,246.0,39647263.0,153.0,154.0,151.5,152.5,,-1.5,152.00,15,153.00,4,20.04,152.41,42223730,152.50,167.50,137.50,3.0,111.0,1.97,2.99
1301,台塑,6322386.0,5480.0,449315052.0,71.6,71.8,70.7,70.9,-,1.1,70.90,48,71.00,10,61.65,,,,,,,,,
1303,南亞,5843320.0,3855.0,334933053.0,57.9,58.0,57.0,57.2,-,1.1,57.20,14,57.30,21,71.5,,,,,,,,,
1304,台聚,1474267.0,1184.0,23958799.0,16.5,16.5,16.15,16.2,-,0.3,16.20,92,16.25,8,0.0,,,,,,,,,
1305,華夏,1031149.0,652.0,19423058.0,19.05,19.05,18.7,18.8,-,0.3,18.80,23,18.85,17,31.86,,,,,,,,,
1307,三芳,608636.0,455.0,18175526.0,29.65,30.15,29.65,29.8,+,0.1,29.75,14,29.80,94,15.6,,,,,,,,,
1308,亞聚,761053.0,727.0,14939201.0,19.7,19.75,19.55,19.65,-,0.1,19.60,7,19.65,6,98.25,,,,,,,,,
1309,台達化,412402.0,619.0,6542788.0,16.05,16.05,15.75,15.8,-,0.35,15.75,13,15.80,31,0.0,,,,,,,,,
1310,台苯,1757649.0,2314.0,23191346.0,13.2,13.35,13.1,13.15,-,0.35,13.15,16,13.20,312,0.0,,,,,,,,,
1312,國喬,2316343.0,1373.0,31084915.0,13.55,13.55,13.3,13.35,-,0.35,13.35,236,13.40,33,0.0,,,,,,,,,
1313,聯成,1747132.0,675.0,23797879.0,13.8,13.85,13.5,13.5,-,0.25,13.50,99,13.55,14,0.0,,,,,,,,,
1314,中石化,24731632.0,5584.0,242086139.0,9.93,9.96,9.66,9.67,-,0.22,9.67,414,9.68,193,0.0,,,,,,,,,
1315,達新,76822.0,134.0,5518570.0,71.4,72.2,71.4,71.8,X,0.0,71.70,1,71.80,1,19.62,,,,,,,,,
1316,上曜,7999715.0,3963.0,157279612.0,20.0,20.15,19.35,19.35,-,0.6,19.35,188,19.40,3,0.0,,,,,,,,,
1319,東陽,4888835.0,3135.0,594363060.0,124.0,124.0,119.0,123.0,,0.0,122.50,38,123.00,49,24.12,,,,,,,,,
1321,大洋,178091.0,79.0,6397976.0,36.35,36.35,35.8,36.0,-,0.35,35.80,16,36.05,10,40.91,,,,,,,,,
1323,永裕,33102.0,19.0,1029956.0,31.1,31.2,31.0,31.05,-,0.05,31.00,1,31.05,2,33.39,,,,,,,,,
1324,地球,229168.0,388.0,3411689.0,15.1,15.2,14.7,14.8,-,0.3,14.75,30,14.80,1,27.92,,,,,,,,,
1325,恆大,369382.0,328.0,10749225.0,29.55,29.55,28.9,28.95,-,0.6,28.95,8,29.00,5,137.86,,,,,,,,,
1326,台化,4464174.0,2963.0,247490436.0,55.8,55.9,55.2,55.5,-,0.6,55.40,50,55.50,62,38.01,,,,,,,,,
1336,台翰,121162.0,91.0,2400793.0,19.85,20.1,19.7,19.8,,0.0,19.80,1,19.85,6,14.24,19.81,78818419,19.80,21.75,17.85,0.41,112.0,2.07,0.88
1337,再生-KY,410524.0,513.0,2994506.0,7.28,7.34,7.22,7.31,+,0.03,7.30,3,7.31,8,0.0,,,,,,,,,
