symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,均價,發行股數,次日參考價,次日漲停價,次日跌停價,每股股利,股利年度,殖利率(%),股價淨值比
1101,台泥,37583102,15379,1219897514,32.8,33.6,32.0,32.0,+,0.05,32.00,"1,464",32.05,54,31.07,,,,,,,,,
1102,亞泥,4833520,3055,200029207,41.6,42.4,41.1,41.15,+,0.05,41.15,70,41.20,2,13.4,,,,,,,,,
1103,嘉泥,1082180,558,19094901,17.65,18.2,17.4,17.45,+,0.1,17.40,15,17.45,3,145.42,,,,,,,,,
1104,環泥,4145516,2055,134342098,32.6,33.0,31.95,32.05,+,0.25,32.05,73,32.10,78,10.24,,,,,,,,,
1108,幸福,2848308,1121,45901965,16.15,16.4,15.9,15.9,+,0.1,15.90,120,15.95,26,12.23,,,,,,,,,
1109,信大,787282,379,15372876,19.55,19.6,19.4,19.45,+,0.05,19.45,33,19.50,19,9.68,,,,,,,,,
1110,東泥,150049,129,2698592,18.0,18.15,17.8,18.0,+,0.05,17.90,4,18.00,16,69.23,,,,,,,,,
1201,味全,271780,300,5128644,19.0,19.0,18.8,18.85,-,0.15,18.85,10,18.90,2,35.57,,,,,,,,,
1203,味王,104,43,5236,,,,, ,0.0,50.20,9,50.40,1,28.0,,,,,,,,,
1210,大成,1438215,1258,82772649,57.6,57.8,57.3,57.6,-,0.2,57.60,9,57.70,10,11.98,,,,,,,,,
1213,大飲,112310,41,797587,7.18,7.18,7.04,7.11,-,0.15,7.11,5,7.20,4,0.0,,,,,,,,,
1215,卜蜂,411523,963,46451499,114.0,114.0,112.0,112.0,-,2.0,112.00,57,112.50,3,14.55,,,,,,,,,
1216,統一,6890048,3380,519885386,75.3,75.7,75.2,75.3,-,0.2,75.30,100,75.40,21,23.31,,,,,,,,,
1217,愛之味,689826,499,8234669,11.95,12.0,11.9,11.9,-,0.05,11.90,199,11.95,6,29.02,,,,,,,,,
1218,泰山,895353,698,19269406,21.6,21.7,21.35,21.55,-,0.2,21.55,5,21.60,10,0.0,,,,,,,,,
1219,福壽,208617,124,3900046,18.75,18.75,18.65,18.65,-,0.1,18.65,74,18.70,7,19.84,,,,,,,,,
1220,台榮,121596,109,1853880,15.35,15.35,15.15,15.25,-,0.1,15.20,50,15.25,4,20.07,,,,,,,,,
1225,福懋油,7033,10,394617,56.3,56.3,56.0,56.0,-,0.2,56.00,3,56.30,1,35.0,,,,,,,,,
1227,佳格,438442,308,16735584,38.3,38.3,38.05,38.25,-,0.05,38.25,7,38.30,25,28.33,,,,,,,,,
1229,聯華,538862,715,36335576,67.4,67.6,67.1,67.3,-,0.2,67.30,42,67.40,9,25.49,,,,,,,,,
1231,聯華食,176108,545,17175028,98.4,98.4,97.0,97.5,-,0.9,97.50,2,97.60,1,24.81,,,,,,,,,
1232,大統益,41970,127,6136508,146.5,146.5,146.0,146.0,-,0.5,146.00,10,146.50,1,19.39,,,,,,,,,
1233,天仁,8364,86,282791,33.8,33.8,33.8,33.8,-,0.2,33.70,1,33.80,11,31.89,,,,,,,,,
1234,黑松,113858,173,4732704,41.6,41.85,41.3,41.8,+,0.1,41.75,2,41.80,7,17.71,,,,,,,,,
1235,興泰,2732,6,223008,81.3,82.0,81.3,82.0, ,0.0,82.00,2,82.10,1,31.42,,,,,,,,,
1236,宏亞,21126,35,497238,23.55,23.75,23.45,23.45,-,0.05,23.50,1,23.60,1,130.28,,,,,,,,,
1240,茂生農經,29688,49,1560115,52.5,52.8,52.5,52.5,,0.0,52.5,4,52.6,1,12.74,52.55,"39,370,158",52.5,57.7,47.25,2.7,112.0,5.14,1.53
1256,鮮活果汁-KY,5004,128,1203040,240.0,241.0,240.0,241.0,-,3.0,239.50,1,243.00,3,19.42,,,,,,,,,
1259,安心,1331,16,99670,75.0,75.0,75.0,75.0,,0.0,74.7,1,75.0,1,14.51,74.88,"32,389,500",75.0,82.5,67.5,1.8,112.0,2.4,1.03
1264,德麥,14231,199,4324421,305.0,305.0,303.0,304.0,,0.0,304.0,3,304.5,1,16.67,303.87,"37,064,367",304.0,334.0,274.0,14.0,112.0,4.61,3.57
1268,漢來美食,36847,63,5664418,153.5,154.5,153.0,153.5,,-1.0,153.5,6,154.0,1,20.17,153.73,"42,223,730",153.5,168.5,138.5,3.0,111.0,1.95,3.01
